company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Ripman Design AB,5590406046,2,69,Gerger; Bengt Patrik,3,15,Lexsol AB|Ripman Design AB|Bostadsrättsföreningen Kv Navaren; Industristaden AR
Kåbo Bygg & Hantverk AB,5590206628,2,30,Vahanyan; Artur,1,0,Kåbo Bygg & Hantverk AB
Hallands Vent & Plåtentreprenader Aktiebolag,5565051173,3,65,Andersson; Peter Mikael,6,5,Hallands Vent & Plåtentreprenader Aktiebolag|PV Företagen Service AB|HYBE Maskin AB|Kustens VVS AB|El & Larmtjänst i Halmstad AB|Sydkonstruktion AB
Jord & Berg i Kungsbacka AB,5565543138,4,55,Daun; Robert Anders Erik,1,0,Jord & Berg i Kungsbacka AB
Tofta Bygg AB,5563817880,3,67,Bengtsson; Claes Anders,35,26,Tofta Bygg AB|Hisingens Mark & Trädgård AB|Varlaberg Förvaltning AB|Höör Hotell och Konferens AB|Klousten Fastighets AB|Hallagårdens Stugby AB|Bengtsson & Zetterholms Fastigheter AB|Golvvårdskonsulten i Göteborg AB|Kungsbacka Business Center AB|Fastighetsutveckling i Åsa AB|Fastighetsutveckling i Åsa Stationsväg AB|Centrumhuset i Åsa AB|Svedjegården AB|Lönndörren i Göteborg AB|Hotel Investments Group Holding Sweden AB|Onsala Gårdar AB|Blackstone AB|Magnific Design i Göteborg AB|Sintorp Fastigheter AB|Gagnant AB|Åsa Stationsväg 2 Exploaterings AB|Alliora Care AB|Tofta Holding AB|Stråvalla Exploatering AB|Tofta Invest AB|Natural Stone Agency Scandinavia AB|Skäretvägen Äppelbo Fastigheter AB|Varlaberg Fastigheter AB|Katarinas Serviceteam AB|Toftagläntans Hyreshus AB|Bostadsrättsföreningen Styrsö - Ekudden|Ekudden i Styrsö AB|Tofta Holding 2 AB|Bostadsrättsföreningen Äppelbo Havsnära|Fastighets AB Stråvalla II
Viavest Maskin AB,5567106629,6,50,Hansson; Lars Henrik,18,19,Kungsbacka Lastbilcentral AB|VIAVEST AB|Västkustens Mark & Asfalt AB|Strand i Jönköping AB|Tjällmo Grävmaskiner Aktiebolag|Viavest Maskin AB|Tångabergs Schakt Aktiebolag|SweGrund Aktiebolag|Thyras Aktiebolag|Lerjedalen Markberedning AB|Sten & Markteknik i Jönköping AB|Kungsbacka Lastbilcentral Fastighets              Aktiebolag|Transportcentrum i Kungsbacka AB|Kandinen AB|Viavest Miljö AB|Kungsbacka Lastbilscentral Ekonomisk förening|SMA Infrastruktur AB|Kungsbacka Mölndal Holding AB
Ventilationsteknik i Kungsbacka AB,5562296136,5,48,Sällkvist; Fredrik Jonny,1,0,Ventilationsteknik i Kungsbacka AB
Runevads VVS Teknik Aktiebolag,5566342563,5,46,Runevad; Bengt Fredrik,4,2,Runevads VVS Teknik Aktiebolag|VVS & Hyr i Varberg AB|FK i Varberg AB|SARSS Holding AB
Miljöschakt Väst AB,5590088919,3,50,Asklöf; Karl Martin,4,0,Miljöschakt Väst AB|Asklöf Holding AB|K.Asklöf Holding AB|M.Asklöf Holding AB
Sandå Halmstad AB,5565860367,3,58,Lindelöf; Johan Åke Einar,2,0,JFM Fastigheter AB|Sandå Halmstad AB
Tångabergs Schakt Aktiebolag,5560765629,4,51,Johansson; Bengt Jörgen,2,2,Blästergatans Fastighets AB|Tångabergs Schakt Aktiebolag
SweGrund Aktiebolag,5563179935,4,50,Morän; Kjell Fredrik,2,0,SweGrund Aktiebolag|Hittarps RK drifts AB
Vestkust Entreprenad AB,5590180120,3,34,Scott; Gustav Christian,1,0,Vestkust Entreprenad AB
RA Golv AB,5563677151,5,52,Lindgren; Rolf Christer Yngve,3,15,RA Golv AB|Call Fastigheter AB|RA Golv Holding AB
Stråvalla Maskinstation Aktiebolag,5562576313,2,59,Johansson; Sven Olof Ingmar,3,2,SL Entreprenad i Väst AB|Stråvalla Markmiljö AB|Stråvalla Maskinstation Aktiebolag
Varbergs Schakt AB,5564636842,5,54,Serholt; Mats John Roger,2,4,Himle Svets & Mekaniska AB|Varbergs Schakt AB
Aktiebolaget Micropol Fiberoptic,5564700499,7,51,Ljungkvist; Peter Richard,3,0,Micropol Fiberoptic Holding AB|Aktiebolaget Micropol Fiberoptic|Ljungkvist & Partners AB
VOTAB VVS & Värmeinstallation AB,5561383422,3,49,Gustafsson; Erik Linus,4,1,VOTAB VVS & Värmeinstallation AB|Fastighetsförvaltning Karossen i Varberg AB|EG 86 Holding AB|Västkustens Isolering & Plåt AB
