company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
J.N. Kraftinstallatörer Aktiebolag,5591365738,7,43,Rinaldo; Patrik Mikael,1,0,J.N. Kraftinstallatörer Aktiebolag
Eliteex AB,5592042401,2,33,Sartoni; David Robert,2,4,Bon Viola AB|Eliteex AB
Svensk Mark i Sverige AB,5568898471,3,50,Körnefors; Jan Christer Håkan,11,14,Micromin Management AB|Rastavik AB|Exoft Business Solutions Aktiebolag|Forward Bygg & Entreprenad Aktiebolag|Svensk Mark i Sverige AB|Optimex Ventilation & Miljöteknik Aktiebolag|Optimator Ekonomi & Redovisning Aktiebolag|Forward Fastighetsförvaltning Aktiebolag|Primel AB|Produktkonsult Intressenter PKA Aktiebolag|ShowFace Aktiebolag
Iskana AB,5591310197,1,18,Fernández Ortiz; Natan Ben Jared,1,1,Iskana AB
mossig aktiebolag,5568262363,4,57,Nydahl; Andreas Björn Johan,2,1,mossig aktiebolag|Evema Miljö & Kemi AB
JB Rail AB,5567443949,3,69,Wränghede; Anna Karin,18,48,Eric Andersson Gruppen AB|Aktiebolaget Frijo|Bro & Väg Mälardalen AB|Broby Spår AB|Bygg & Berglaget Stockholm AB|S.G. Westin Elcenter AB|Keyser Fastigheter AB|Åkerby Industrihus Aktiebolag|Inframontage AB|JB Rail AB|Edsbergs Park Fastigheter AB|Alvar Engine Aktiebolag|EA Trading AB|VAJM AB|Sigtuna Eneby Fastighets AB|Älvsjö Industrihus AB|Fastighetsaktiebolaget Elektrikern 7|Wränghede Consulting Aktiebolag
Hammartorps Entreprenad AB,5568601388,2,46,Strandberg; Erik Göran,1,2,Hammartorps Entreprenad AB
Hammartorps Entreprenad AB,5568601388,2,46,Strandberg; Marie Jessica,1,1,Hammartorps Entreprenad AB
CRYPTO ZOO AB,5569841892,2,47,Rhodin; Bartlomiej Robert,1,17,CRYPTO ZOO AB
PBBS service AB,5591543961,2,40,Zelich; Dominik,2,1,Alwida Invest Sverige AB|PBBS service AB
DeBrand Sverige Aktiebolag,5568514052,2,50,Delin; Bo Mattias,1,4,DeBrand Sverige Aktiebolag
Ström2 Services AB,5565812053,2,72,Lidström; Per Olof,4,6,Ström2 - Consultant Group AB|Ström2 Holding AB|LM Broking Aktiebolag|Ström2 Services AB
Abstract Drawing Center AB,5591205090,2,45,Frodlund Moe; C J J Mattias,1,9,Abstract Drawing Center AB
Abstract Drawing Center AB,5591205090,2,45,Moe; Hanna Elisabet,1,0,Abstract Drawing Center AB
Vibrations of matter AB,5567432124,2,43,Strid; Per Erik Jonas,4,12,Jonas Strid ProControl AB|Vibrations of matter AB|Installit AB|Bostadsrättsföreningen Lönnen 3 i Solna
Ekliden Konsult AB,5565446415,2,51,Alsparr; Edit Pauline,1,0,Ekliden Konsult AB
Work4U Consulting Sweden AB,5568854193,2,31,Mirza; Nzar Dlawar,2,2,Work4U Consulting Sweden AB|Agrex Frukt Och Grönt
Sewen Offshore Competence AB,5567321277,4,51,Sewén; Björn Anders Bertil,2,10,Sewen Offshore Competence AB|Elektrotekniska Larm & Säkerhet Lidingö AB
af Wetterstedt Group AB,5568243165,3,41,af Wetterstedt; Victor,1,0,af Wetterstedt Group AB
HEDA TransportLogistic Aktiebolag,5568301872,2,63,Sundell; Dan Peter Erik,2,3,HEDA Transport AB|HEDA TransportLogistic Aktiebolag
Keywe AB,5568104235,4,66,Rollfelt; Peter Stefan,8,21,I D 4 U AB|Keywe AB|Keywe Backa AB|Rollfelt Holding AB|Keywe Backa Holding AB|Asperin Holding AB|Keywe Rågsved AB|Nordisk Utveckling av Omsorg och Fastigheter AB
Joli Konsult AB,5567174395,2,51,Lind; Bo Joacim Gunnar,4,17,Age Balance AB|Hangaren Bostad Byggnads AB|Joli Konsult AB|Hangaren Bostad Fastighets AB
Herrängs Rörservice AB,5565740031,2,69,Blomberg; Jan-Olov,1,2,Herrängs Rörservice AB
Ulf Anderson Bygg- och Fastighetskonsult          Aktiebolag,5562348259,2,67,Andersson; Ulf Axel Gerhard,1,4,Ulf Anderson Bygg- och Fastighetskonsult          Aktiebolag
Danielsen Space Planning/Architecture AB,5569717928,4,56,Grånäs; Anna Katarina,1,3,Danielsen Space Planning/Architecture AB
Danielsen Space Planning/Architecture AB,5569717928,4,56,Meyer; Malin Johanna,1,3,Danielsen Space Planning/Architecture AB
Warren Productions AB,5568118839,2,55,Warren; Pierre Georges,1,2,Warren Productions AB
Elektriska Aktiebolaget Poje,5561349118,2,65,Pettersson; Lars Ove,1,2,Elektriska Aktiebolaget Poje
Boet Bostad AB,5590353214,3,54,Grumme; Jonas Henrik Ferdinand,30,16,Maleviks Kakhus AB|Särö Centrum AB|Kungsbacka Varla 2:436 AB|Åbro Företagspark AB|Söderberg Fastighetsförvaltning AB|Boet Bostad Utveckling AB|Gröna Skolfastigheter Kungsbacka 6:30 AB|Boet Bostad Holding AB (publ)|Boet Bostad Produktion AB|Boet Bostad AB|Gröna Skolfastigheter Skövde Ventilen 1 AB|Gröna Skolfastigheter AB (publ)|Värsnäs Park AB|Boet Bostad Projekt 2 AB|Boet Bostad Projekt 33 AB|Boet Bostad Projekt 32 AB|Norrköping Kalmar Projekt AB|Boet Bostad Guldskrinet AB|Gröna Skolfastigheter Projekt AB|Mellanbolag Ventilen 1 Skövde Holding AB|Ventilen 1 Skövde Holding AB|Boet Bostad Projekt 31 AB|Boet Bostad Kvibergs Park AB|Boet Bostad Intressent AB|Boet Bostad Projekt 3 AB|Gröna Skolfastigheter Förvaltning AB|Gröna Skolfastigheter Utveckling AB|Boet Bostad Fotbollen 1 AB|Gröna Skolfastigheter Mellanbolag 2 AB|Skogshyddans Montessoriförskola Ekonomisk förening
Grafiska Reklamfaktorn i Stockholm Aktiebolag,5564036886,2,75,Liss; Pähr,1,3,Grafiska Reklamfaktorn i Stockholm Aktiebolag
Nisseby Holding AB,5568176456,4,40,Nisseby; Karl Henrik,3,4,Team 08 Ventilation AB|Nisseby Holding AB|Nisseby Snickeri AB
