company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
VA Drift Renare Vatten RV AB,5566520895,4,57,Martinell; Lennart,4,4,Aktiebolaget Ifo Vattenrening|VA Drift Renare Vatten RV AB|Ifo Holding AB|Ifo Invest AB
M Andersén Byggledning AB,5569393530,2,56,Andersén; Mats Nils-Erik,1,1,M Andersén Byggledning AB
Sthlm Bygg och Våtrum AB,5590980743,2,30,Sunebäck; Erik Filip Alexander,3,1,CS Byggbolag AB|Sthlm Bygg och Våtrum AB|FS Plattsättning
Stockholm Sign Production AB,5567954176,3,51,Jönsson; Christoffer Gunnar,2,2,vLux|Stockholm Sign Production AB
ACRUX Konsult AB,5568036023,2,49,Gustafsson; Leif Joakim,3,6,Photon Energy Holding JJ AB|Photon Energy JWJ AB|ACRUX Konsult AB
D.sign bygg Vaxholm AB,5590428131,2,43,Oscarsson; Thor David,1,1,D.sign bygg Vaxholm AB
Nektarinen Aktiebolag,5562336155,2,70,Gozzi; Ingrid Yvonne,1,1,Nektarinen Aktiebolag
LN Kvalitet AB,5568318801,2,48,Löfgren; Oscar Per Lennart,2,1,InventiveForce AB|LN Kvalitet AB
LN Kvalitet AB,5568318801,2,48,Löfgren; Sofi Uchem,1,0,LN Kvalitet AB
Mät & Byggspecialisten Sverige AB,5590843867,2,32,Åberg; Hans Fredrik,2,14,Moreishness AB|Mät & Byggspecialisten Sverige AB
Claes Wahlund & co AB,5590056791,2,50,Wahlund; Claes Rune,3,3,Powerwear AB|P Vahlund Transport och service AB|Claes Wahlund & co AB
AB WMAK,5591428312,2,42,Myhrberg; William Karl Lennart,1,2,AB WMAK
AB WMAK,5591428312,2,42,Kadotchnikova Myhrberg; Anastasia,1,1,AB WMAK
MacLochlainn AB,5567405393,2,42,Andersson; Bengt Åke Fredrik,3,20,MacLochlainn AB|Green Wings Partners AB|Megakakel Sverige AB
Scandinavian SIP Homes Fastigheter Nr. 11 AB,5591161780,nan,nan,Robertson; Ulf Henningsson,5,30,Säkra Lyft i Rimbo AB|U in Progress AB|Kerran Consult AB|Scandinavian Fastighet Nr.2 AB|Fastighets AB Bladet
Korus Projekt AB,5590433347,2,56,Jansson; Johan Olof,5,46,TOOLGATE AB|Korus Projekt AB|Esparto AB|Glocal Village AB|Toolgate Holding AB
Umbe's Konsult AB,5566567557,3,59,Wahlström; Rosanna,1,3,Umbe's Konsult AB
Kontrollservice i Sverige AB,5567781256,2,33,Lidström; Thomas Arne,1,2,Kontrollservice i Sverige AB
Rudhage Måleri & Fastighetsservice AB,5569626251,2,50,Rudhage; Anders Fredrik,1,1,Rudhage Måleri & Fastighetsservice AB
M6 Nordic Group AB,5591854673,2,44,Lebed; Viaceslav,1,5,M6 Nordic Group AB
JFVent AB,5591307953,2,31,Fedorovs; Janis,1,1,JFVent AB
Storuddens Bygg & VVS Service AB,5569557191,2,54,Vestlund; Hans Mikael,2,2,Storuddens Bygg & VVS Service AB|ias Allservice
LJ World Bygg AB,5590216957,2,41,Lubys; Jurdanas,1,1,LJ World Bygg AB
Georg Skult Aktiebolag,5564763612,2,72,Skult; Georg Edvin,1,1,Georg Skult Aktiebolag
Hörnfeldts bygg&glas entreprenad AB,5569511123,2,56,Hörnfeldt; Per Henrik Frank,3,1,Gärdesbottens lantbruk Blidö|Konsult Hörnfeldt AB|Hörnfeldts bygg&glas entreprenad AB
Tollberg bygg & inredning AB,5591186654,4,44,Tollqvist; Jan Gustaf Magnus,2,4,Tollberg bygg & inredning AB|Svensk Dykservice
Tollberg bygg & inredning AB,5591186654,4,44,Hasselberg; Joel Kim,2,0,Tollberg bygg & inredning AB|Hasselbergs konstruktion
Elys Elteknik AB,5591729669,2,30,Elfström; Leif Mattias,2,0,Face & Body Inn AB|Elys Elteknik AB
Willers Arkitekter AB,5569915449,3,56,Willers; Linda Eva,1,6,Willers Arkitekter AB
Mittvind i Sverige AB,5568624927,3,64,Melkersson; Dag Melker Jakob,8,6,Mittvind i Sverige AB|Risträsk Vind AB|Borago Utvecklings AB|Hemberget Energi AB|Gotlands Havtorn AB|Norrliden Vindpark AB|Svanabyn Vindkraft AB|Flakaberget Vindkraft AB
Mittvind i Sverige AB,5568624927,3,64,Säterhall; Pär Ola,13,19,Mittvind i Sverige AB|Risträsk Vind AB|Sundvest AB|Vindvision Norr AB|Outside Windtech Sweden AB|Ollebacken Energi AB|Hemberget Energi AB|TeraVind AB|Norrliden Vindpark AB|Affloardal Energi AB|Sundsjö Vind AB|Flakaberget Vindkraft AB|Svanabyn Vindkraft AB
Vikensro Aktiebolag,5567549901,1,50,Jonsson; Stig Åke Fredrik,1,1,Vikensro Aktiebolag
Strömfeldt Projektpartner AB,5591705123,4,48,Strömfeldt; Johnny Vincent,1,3,Strömfeldt Projektpartner AB
AL Konsultation och Entreprenad AB,5569586240,2,44,Karlsten; Per Anders Erik,2,0,RED Management AB|AL Konsultation och Entreprenad AB
Trind AB,5562940089,4,38,Fors; Benita Elisabeth,2,1,Trind AB|Peter Fors Invest AB
Trind AB,5562940089,4,38,Fors; Andreas Peter,1,0,Trind AB
Elteknik i Stensvik AB,5591110332,4,52,Jansson; Monica Britt-Marie,1,2,Elteknik i Stensvik AB
Ludo Konsult AB,5590801212,2,50,Roux; Ludovic Christophe René,2,5,Bostadsrättsföreningen Spanaren|Ludo Konsult AB
Installationskonsulterna i Stockholm AB,5590694070,2,36,Johansson; Jonas Erik,2,2,Installationskonsulterna i Stockholm AB|HaaJoo AB
Peter Dahl Projektledning AB,5567895346,2,52,Dahl; Bo Peter Torsten,2,2,Peter Dahl Projektledning AB|CONPAL AB
ÖBORNAS SCHAKT & PLANERING AB,5591854483,2,34,Jidstrand; Fredrik Rikard,1,1,ÖBORNAS SCHAKT & PLANERING AB
Björn Wahlberg Fastighetskonsult AB,5591706014,3,51,Wahlberg; Anna Malin,1,2,Björn Wahlberg Fastighetskonsult AB
Björn Wahlberg Fastighetskonsult AB,5591706014,3,51,Wahlberg; Björn Inge,1,3,Björn Wahlberg Fastighetskonsult AB
STERNIS BYGG AB,5568464779,3,52,Sternvad; Hans Johan Olof,2,2,STERNIS BYGG AB|WP El AB
Pipeworks AB,5591593859,2,46,Newman; Liam McCollum,2,0,Pipeworks AB|Förenade Byggpartners Byggkonsult Tynningö AB
Caroline Rönnberg Design AB,5590056288,2,43,Rönnberg; Caroline Hanna Sofia,4,19,Bodén & Lindeberg Holding AB|Aktiebolaget Bodén & Lindeberg|Caroline Rönnberg Design AB|Rönnberg Consulting AB
WAADE Society AB,5591825871,5,46,Andersson; Anna Sara Kristine,1,0,WAADE Society AB
Vedin Bygg AB,5568546609,2,38,Vedin; Mats Patrik,2,2,Platsbyggt Stockholm AB|Vedin Bygg AB
BH Teknikkonsult AB,5590728977,2,51,Henriksson; Björn Erik,1,1,BH Teknikkonsult AB
Antes Montage AB,5590862909,2,49,Lomartire; Antonio,1,3,Antes Montage AB
LP Montage AB,5591531560,2,31,Lundbergh; Kenny Samuel,1,1,LP Montage AB
Skanska Infrastructure Development AB,5568259377,3,48,Winqvist; Pontus Gustav Patrik,7,72,Swedish Hospital Partners AB|Swedish Hospital Partners Holding AB|Skanska Wind Power Invest AB|Skanska Infrastructure Development AB|Skanska Antofagasta Invest AB|Skanska A1 Invest AB|Skanska NKS Invest AB
JT VVS-Teknik AB,5566284914,2,45,Trygg; Jonny Oskar,1,1,JT VVS-Teknik AB
Thomas Jonsson Snickeri AB,5569562035,2,69,Jonsson; Thomas Lorentz,1,2,Thomas Jonsson Snickeri AB
Täby Carpenters AB,5567939342,2,59,Mirkhandan; Mir Hadi,2,3,Amini Dental AB|Täby Carpenters AB
Freddys Linjemålning AB,5590183017,2,42,Sandström Juhojuntti; Freddy Magnus,2,0,Suthisa Thaimassage AB|Freddys Linjemålning AB
Värmebutiken Mälardalen AB,5591835086,2,44,Våhlin; Karl Martin,1,3,Värmebutiken Mälardalen AB
Trenton Group AB,5567648364,2,35,Enblad; Gustaf Lennart,31,70,Eklund Stockholm New York AB|Jesses Deli AB|URBAN by ESNY AB|Mälarlången AB|Landera AB|Trenton Group AB|Fastighets AB Korn|Fastighets AB Blomsterstycket|M14 Fastighets AB|Fastighets AB Fjärran|Bostadsrättsförening Ösby 1:581|Daynight Casual AB|Fastighets AB Mälarhöjden|GEPROW AB|Hage Fastigheter AB|Fastighets AB Skifferhuset|Fastighets AB Kraftkällan|Fastighets AB Värmdöhuset|Fastighets AB Lustgasen|LANDEXO AB|Fastighets AB Printern|Fastighets AB Brandbergenhuset|Fastighets AB Magnethuset|ESNY Göteborg AB|ESNY Stockholm AB|Fastighet AB Nödendagis|Björntråden Fastighetsaktiebolag|Trenton Fastigheter AB|Fastighets AB Församlingshuset|Fastighets AB Läkemedelshuset|Collage Intressenter Stockholm AB
Trenton Group AB,5567648364,2,35,Klerfelt; Fredrik Nils Anders,17,148,Mälarlången AB|Trenton Group AB|Fastighets AB Blomsterstycket|Fastighets AB Fjärran|GEPROW AB|Out and About AB|Hage Fastigheter AB|Fredrik Klerfelt Holding AB|Fastighets AB Kraftkällan|Fastighets AB Lustgasen|Fastighets AB Printern|Ambrius Kapital AB|Fastighets AB Församlingshuset|Trenton Fastigheter AB|Ice Star Group AB|Agape Holding AB|Björntråden Fastighetsaktiebolag
Moikamoi Superstudios AB,5590304274,2,39,Andersson; Lars Thomas,1,2,Moikamoi Superstudios AB
Rica Sweden AB,5567199673,2,65,Aldehag; Britt Rigmor,1,7,Rica Sweden AB
ARLEIJ BYGG AB,5569523672,2,56,Arleij; Per Gunnar,2,6,ARLEIJ BYGG AB|PERGUS BYGG
Gmet Aktiebolag,5568437783,4,39,Björk; Seth Micael,1,0,Gmet Aktiebolag
Trevis Måleri AB,5567856819,2,53,Rönnberg; Mats Lennart,1,4,Trevis Måleri AB
NrK Design och Projekt AB,5591973309,3,50,Ramos Arcega; Norkis Nohemi,3,1,Viklunds Service Sankt Eriksgatan AB|NrK Design och Projekt AB|Viadal Intressenter AB
Vi Monterar i Stockholm AB,5590890140,2,41,Österlind; Daniel,1,1,Vi Monterar i Stockholm AB
