company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Sala Vassklippning AB,5569764144,4,52,Gillerblad; Joakim Björn Erik,3,4,Tvätthallen i Sverige AB|Sala Vassklippning AB|Tonnage AB
Nordic Parks Sverige AB,5569333809,2,44,Nilsson; Ludvig Micael,1,0,Nordic Parks Sverige AB
Designpartners Bygg- och Anläggningsingenjörer i  Västerås AB,5569510836,2,60,Nordlund; Reino Henrik,1,3,Designpartners Bygg- och Anläggningsingenjörer i  Västerås AB
MERTED AB,5568609985,3,53,Eriksson; Ove Michael,2,1,MERTED Holding AB|MERTED AB
Perlefelts Plåtslageri AB,5591867196,2,31,Hammarbäck; Johan Erik,2,0,Perlefelts Plåtslageri AB|Aktiebolaget Westmaskin
Björkmans Glasmästeri Västerås AB,5568407109,3,36,Merino Castillo; Milton Daniel,10,8,Wepax Support AB|Milton Enterprise AB|Björkmans Glasmästeri Västerås AB|ALIC EKONOMISK FÖRENING|Milton Daniel Bil AB|Milton Finance & Invest AB|MJO Partners AB|SanMil Sweden AB|Novega Invest AB
ByggA Hus & Modulmontage i Mälardalen AB,5590515275,2,53,Öberg; Jon Gunnar,1,1,ByggA Hus & Modulmontage i Mälardalen AB
Creative Networks X AB,5591174486,4,45,Gashi; Gramsh,9,14,Creative Networks Constructions X AB|Creative Networks Consulting X AB|Morgården vård och behandling AB|Creative Networks X AB|Creative Invest One AB|Gradia AB|Creative Studio Y AB|Creative Networks Solutions X AB|Global Trust AB
J.H.S. Byggnadsaktiebolag,5560820382,2,62,Sundkvist; Per Anders,1,1,J.H.S. Byggnadsaktiebolag
Kontaktledningsteknik Sverige AB,5590963673,6,35,Östberg; Niclas Haldor Jacob,1,0,Kontaktledningsteknik Sverige AB
AGOBRA BYGG AB,5591089114,4,29,Wiberg; Kent Alexander,1,0,AGOBRA BYGG AB
AGOBRA BYGG AB,5591089114,4,29,Johansson; Urban Andreas,1,0,AGOBRA BYGG AB
