company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
LaponiaCenter AB,5565917712,4,65,Andersen; Simon Ivar,1,9,LaponiaCenter AB
K4 Investment AB,5591311609,2,40,Karlsson; Aila Inga-Britt,2,1,Johans MaskinEntreprenad i Norr AB|K4 Investment AB
K4 Investment AB,5591311609,2,40,Karlsson; Johan Gustav,2,0,Johans MaskinEntreprenad i Norr AB|K4 Investment AB
Bengt Åström Engineering Aktiebolag,5563773430,2,79,Åström; Bengt Erling,1,0,Bengt Åström Engineering Aktiebolag
Projekt- och Byggledning i Sverige PBL AB,5567419782,2,54,Öhman; Lars Göran,3,0,BPL Norr AB|BPL Sverige AB|Projekt- och Byggledning i Sverige PBL AB
North Road 97 AB,5590340807,2,37,Smajilhodzic; Emir,1,1,North Road 97 AB
Isolersystem Skellefteå AB,5591210553,3,49,Brudell; Sten Eric,3,18,Isolersystem Skellefteå AB|Isolersystem Luleå AB|Isolersystem Sverige AB
ÖINAB AB,5569976276,3,47,Dahlgren; Mats Åke,2,3,ÖINAB AB|Älska Vilt
T. Karlssons Glasmästeri Aktiebolag,5560773979,4,61,Karlsson; Bo Anders,1,4,T. Karlssons Glasmästeri Aktiebolag
AB Sundkvists Vvs,5568170350,2,35,Sundqvist; Sven Edvin,1,1,AB Sundkvists Vvs
Luleå Business Region AB,5560379306,7,52,Hellman; Jenny Magdalena,1,1,Luleå Business Region AB
Lennart Englund Bygg Aktiebolag,5564358587,4,52,Englund; Nils Lennart,8,21,Byggmästare S.A. Englund Aktiebolag|Fastighets Aktiebolaget NIVI|Lennart Englund Bygg Aktiebolag|Kranarmen i Sverige AB|Farstugrundet AB|L & L Englund Fastigheter i Kalix AB|AB Törvedsön|2 x LE i Kalix AB
Projekt Partner i Kiruna AB,5567204069,2,54,Mukka; Ulf Knut,1,0,Projekt Partner i Kiruna AB
Tri Invent Aktiebolag,5565018628,2,72,Öberg; Lars Olof,3,6,Tri Invent Aktiebolag|O Ö Reinvent Aktiebolag|Tri Or
Bodenhus AB,5562798768,3,59,Jakobsson; Hans Håkan,8,16,Swerock Aktiebolag|Peab Asfalt AB|Peab Asfaltfräsning Aktiebolag|Peab Asfalt Väst AB|Berg & Betongtätning i Sverige AB|Peab Industri AB|Bodenhus AB
Svenska Norrbygg Resurs AB,5590249719,2,44,Skagervik; Lars Stefan,4,5,Svenska Norrbygg AB|Svenska Norrbygg Fastigheter AB|Svenska Norrbygg Resurs AB|S1 Malmesliden AB
Svenska Norrbygg Resurs AB,5590249719,2,44,Skagervik; Anna Mona-Lisa,4,3,Svenska Norrbygg AB|Svenska Norrbygg Fastigheter AB|Svenska Norrbygg Resurs AB|S1 Malmesliden AB
Jorma Juvani Aktiebolag,5563147296,2,70,Juvani; Jorma Juhani,1,2,Jorma Juvani Aktiebolag
P H Infra AB,5568532781,4,49,Lukkarila; Juha Petteri,1,4,P H Infra AB
Bothnia Wood AB,5566962949,2,59,Hempele; Kurt Ingvar,2,3,Polardörren Aktiebolag|Bothnia Wood AB
Bröderna Frimodigs Måleri och Bygg AB,5569713059,2,29,Wentling Frimodig; Nils Emil,2,1,Golvavjämning i Norr AB|Bröderna Frimodigs Måleri och Bygg AB
Sankt Ibb Förvaltning AB,5563735454,2,50,Fallström; Lars Peter Michael,3,5,Fallström Invest AB|Sankt Ibb Förvaltning AB|Fallström Bil AB
A Lindgren Energi Aktiebolag,5564564309,2,67,Lindgren; Lars Anders,1,6,A Lindgren Energi Aktiebolag
BEKEL AB,5569166472,2,43,Lindström; Irja Elvira Karin,1,0,BEKEL AB
Börje Henrikssons Byggnads Aktiebolag,5560892522,2,68,Berggren; Sigurd Crister,1,0,Börje Henrikssons Byggnads Aktiebolag
ZILEAB AB,5568917925,2,49,Rova; Leif Henrik Herbert,1,0,ZILEAB AB
Predge Holding AB,5569272635,5,56,Jonsson; Bengt Ture,3,0,Predge Holding AB|Predge AB|JONED AB
Ekbergs Entreprenad AB,5568225568,2,47,Ekberg; Lisbeth Ann-Sofie,1,0,Ekbergs Entreprenad AB
Investab AB,5590501242,2,36,Hansson Nyström; Per Erik,3,7,Fastighetsbolaget Gjutvägen 7 AB|Mark & Byggtjänst Nord AB|Investab AB
Polarhus AB,5590193339,2,53,Lundmark; Maria Kristina Heléne,4,7,MDH Bygg Aktiebolag|TTV Värmeteknik Aktiebolag|Polarhus AB|Consa AB
Emich konsult AB,5569813230,3,61,Hansson; Leif Åke,1,0,Emich konsult AB
Arctic Moon AB,5590492616,2,53,Hansson; Jan Ola,1,0,Arctic Moon AB
Arctic Moon AB,5590492616,2,53,Hansson; Jan Robert,3,0,Norrbottens Miljöisolering AB|Norrbottens Byggvaror Handelsbolag|Arctic Moon AB
Piteå Golv & Kakel AB,5568348295,3,53,Johansson; Carl Markus,16,23,MaPa Holding AB|Nordisk Akustik & Klinker AB|Johansson & Björnström Elinstallationer i Boden AB|Golvkedjan Aktiebolag|Västerbottens Golv AB|GBR Service Aktiebolag (GBRAB)|NOAK Golv AB|Spa of Sweden AB|MaPa Invest AB|MaPa Gällivare AB|MaPa Kiruna AB|Piteå Golv & Kakel AB|Golvkedjan Ekonomisk förening|Ramenstället Street Food 0920 AB|Buyers Club 25 AB|Deepbay Digital AB
Norbotnia AB,5591941108,3,39,Ringbjer; Kjell Anders Johan,2,0,Norbotnia AB|Norbotnia Whisky Handelsbolag
Nordic-Battleland AB,5568264690,2,35,Finckelsen; Torry,2,1,bXhaled sport AB|Nordic-Battleland AB
Kiruna Håltagning AB,5592057037,4,35,Tuoremaa; Hans Patrik,3,0,kWatt AB|Kiruna Håltagning AB|Plan- och bygglaget i norr AB
Kiruna Håltagning AB,5592057037,4,35,Linder; Viktor Johannes,3,1,kWatt AB|Plan- och bygglaget i norr AB|Kiruna Håltagning AB
H&J ARKITEKTER INGENJÖRER AB,5568797087,3,51,Nilsson; Hans Jonas,2,2,H&J ARKITEKTER INGENJÖRER AB|Tarpoy AB
Häller Arkitekter AB,5566152202,3,53,Häller; Carl Martin,1,5,Häller Arkitekter AB
HPN & PSM Holding AB,5563088938,4,52,Paananen; Henrik Thomas,2,0,Elektromontage i Luleå Aktiebolag|HPN & PSM Holding AB
R. Lundgrens Arkitektkontor Aktiebolag,5561626739,3,65,Lundgren; Lars Olav Ronnie,5,5,Rostaden Förvaltnings Aktiebolag|Byggmästarna Lundgren Entreprenad Aktiebolag|Volta Fastighetsinvest AB|Kiruna Golv Aktiebolag|R. Lundgrens Arkitektkontor Aktiebolag
MANAB AB,5590960547,3,45,Larsson; Karl Magnus,9,2,Men's Fashion i Luleå Aktiebolag|Topstore i Luleå AB|Neran AB|Style of Norrland AB|Handel och konfektyr i Norden AB|Maglar Invest AB|Neran Holding AB|MANAB AB|Skitenkelt AB
Fastighetsutveckling Stig Olofsson AB,5568136880,2,68,Olofsson; Stig Lennart,1,2,Fastighetsutveckling Stig Olofsson AB
Grovgrus entreprenad Luleå AB,5590996665,2,23,Jakobsson Åström; Måns Jakob,7,1,Volkom AB|Grovgrus entreprenad Luleå AB|Smågrus Förvaltning AB|Smågrus Fastigheter AB|Grovgrus Maskin i Luleå AB|Mellangrus Fastigheter AB|Grovgrus Förvaltning AB
Bygg Dialog AB,5567056097,4,54,Sundhäll; Lars Roberth Jörgen,1,1,Bygg Dialog AB
Bygg Dialog AB,5567056097,4,54,Sundhäll; Michael Per-Ragnar,1,0,Bygg Dialog AB
Consto AB,5565294443,4,59,Lund; Bengt Christer,8,1,Consto AB|Consto Öst AB|Consto Sverige AB|NAXY AB|Consto Fastigheter AB|Rigaro fastigheter AB|Consto Syd AB|Tormestad Fastighets AB
KEWAB; Kenneth Wahlström Aktiebolag,5563786093,3,54,Lindström; Bengt Martin,3,2,KEWAB AB|KEWAB; Kenneth Wahlström Aktiebolag|MEGGS AB
Infrakraft Sverige AB,5590908686,3,43,Pettersson; Christer Daniel,18,23,Infrakraft Sverige AB|Infrakraft Holding AB|Karlstad Airdome AB|Skar Consulting AB|Klarälvens industrikvarter AB|A drop of Fortune AB|MJD Event AB|Skar & Skönvall No. 4 AB|Skar Förvaltning AB|Klarälvens Marina AB|Skar & Skönvall No. 2 AB|Skar & Skönvall No. 3 AB|Skar & Skönvall No. 1 AB|Skar & Skönvall No. 5 AB|Infrakraft Skandinavien AB|Skar & Skönvall No. 6 AB|Skar & Skönvall No.7 AB|Skar Invest AB
LG Contracting AB,5566146444,5,53,Larzon; Leif Stig Patric,8,3,LG Contracting AB|Aktiebolaget Rörläggaren|BI-Vent AB|LG Contracting i Eskilstuna AB|AB Tingstad Rörinstallation|Padel-Center Kristinehamn AB|FOVT Holding AB|OGPL Häradsdomaren Handelsbolag
KEWAB AB,5563383313,3,54,Lindström; Bengt Martin,3,2,KEWAB AB|KEWAB; Kenneth Wahlström Aktiebolag|MEGGS AB
Elms Byggnadsfirma Aktiebolag,5563002210,3,59,Elm; Axel Göran,10,3,Elms Holding AB|Elms Byggnadsfirma Aktiebolag|Elms Mekaniska AB|Golfstar AB|Elms Fastigheter Holding AB|Elms Hyrmaskiner AB|Elms Hagforshantverkaren 15 AB|Elms Bostäder AB|Elms Fastighetsförvaltning 2 AB|Elms Fastighetsförvaltning 1 AB
WermlandsBygg i Sverige AB,5567935498,2,63,Byström; Nils Ingemar,7,5,WermlandsBygg i Sverige AB|FA Entreprenad i Kil AB|Slottsbrofastigheter AB|Gruf AB|Utvecklingsbolaget i Grums AB|Wermlands Snickerifabrik AB|FAEV Holding i Kil AB
TechnoAlpin Nordic AB,5590030341,2,42,Reinholdsson; Erik Lennart Mikael,6,0,TechnoAlpin Nordic AB|Villagatans Lägenheter AB|Reinholdsson & Persson AB|REEL Fastigheter AB|Erik Reinholdsson AB|Lennartsson & Reinholdsson Group AB
Doppelmayr Scandinavia AB,5563224681,3,67,Strandberg; Curt Axel Peter,3,5,Doppelmayr Scandinavia AB|Erik Strandberg AB|K.A.P Strandberg Consulting
BBM i Karlstad AB,5564735131,6,54,Larsson; Lars Thomas,4,11,BBM i Karlstad AB|SCP Area AB|WTSP Fastigheter AB|WTSP Holding AB
A K J Energiteknik Aktiebolag,5562612910,5,49,Jansson; Pär Gustav,3,5,Sustinery Holding AB|A K J Energiteknik Aktiebolag|AKJ Energy Group AB
A K J Energiteknik Aktiebolag,5562612910,5,49,Sigurdsson; Nils Erik,3,2,Kulon Coaching AB|JBK Fastighets Aktiebolag|A K J Energiteknik Aktiebolag
SP-Gruppen AB,5590655394,5,45,Syversson; Roger,3,2,Cetiva AB|Ipart AB|SP-Gruppen AB
Aktiebolaget Karlstads Byggtjänst,5562508019,3,55,Ericsson; Per Reinhold,4,5,Aktiebolaget Karlstads Byggtjänst|LPP Fastighetsförvaltning AB|EP Holding AB|Hammaren LPP Holding AB
Hesselius Entreprenad Aktiebolag,5561886549,2,73,Hesselius; Per Emanuel,3,5,Hesselius Entreprenad Aktiebolag|Värmlandsschakt ekonomisk förening|Björn Hesselius Maskin Aktiebolag
AB Häggmark & Söner,5564617982,3,62,Olsson; Benny Ingemar,6,2,AB Häggmark & Söner|Häggmarks Byggmodul AB|Tinastorp 1 AB|Tinastorp 3 AB|Bero Teknik Handelsbolag|Långjohanstorp Holding AB
Rohm & Co Bygg Aktiebolag,5565659363,3,58,Sjöberg; Jarle Herman,3,1,Rohm & Co Fastighets Aktiebolag|Rohm & Co Bygg Aktiebolag|Sjöbergs Snickeri
Fläkt Teknik Entreprenad i Karlstad AB,5564009040,3,58,Forsberg; Eric Magnus,4,5,Fläkt Teknik Entreprenad i Karlstad AB|Ismåsen Fastigheter Holding AB|Vänerfläkt Kommanditbolag|Fläkt Teknik Holding i Karlstad AB
Sten & Vägarbeten AB,5568741481,3,55,Edlund; Gunnar Per-Erik,8,6,SVEA H AB|Sten & Vägarbeten AB|NIWA Entreprenad AB|Svea Ett AB|Vecta Förvaltning|3E Karlstad AB|Annorlunden Kommanditbolag|Svea Två AB
Stenteknik i Karlstad AB,5567019566,3,48,Höjer; Gunnar Daniel Christoffer,3,3,Titus Pullo XIII AB|Stenteknik i Karlstad AB|Christoffer Höjer AB
Karlstads Rörmontage Aktiebolag,5561236034,3,55,Ekroth; Anders Folke Gunnar,2,3,Karlstads Rörmontage Aktiebolag|Ekroth & Jahnberg Holding AB
Jordkullen Aktiebolag,5560589284,3,61,Österberg; Pierre Christofer,3,3,Torshöjd AB|Jordkullen Aktiebolag|Åsettan Aktiebolag
Klimat och VVS-teknik i Värmland AB,5567866859,5,44,Torehammar; Ulf Anders,1,8,Klimat och VVS-teknik i Värmland AB
Emtbjörks AB,5561553529,6,59,Haglund; Karl Sören,4,2,Värmlandsschakt ekonomisk förening|Emtbjörks AB|Hagfors Neken 4-5 AB|Härjevik Fastighet & Rental AB
ByggCompaniet Göran Malmstedt AB,5567180384,6,55,Malmstedt; Göran Mikael,4,3,ByggCompaniet Göran Malmstedt AB|E-Fastigheter Elviersson & Åslund Aktiebolag|Göran Malmstedt Konsult AB|Eda Näringsliv Ekonomisk förening
Westcon Entreprenad AB,5590942842,3,45,Vestman; Carl Olof Fredrik,6,3,Westcon Entreprenad AB|Westcon Grundläggning AB|Nordiska Maskingruppen i Sverige AB|Westcon Construction Management AB|Nordiska Infragruppen i Sverige AB
Rörledningsfirman Bröderna Karlsson Aktiebolag,5560679879,5,40,Andersson; Ulf Ingemar,5,3,Rörledningsfirman Bröderna Karlsson Aktiebolag|Carina Eva-Lill Nilsson AB|Bergliot Kommunikation AB|Gylterudsviken AB|Familjen Ingemar Andersson AB
ÅJ Måleri AB,5562618644,3,38,Jonsson; Kim Tobias,3,1,Kent Ohsol Målab Aktiebolag|Thermo-Fasad Aktiebolag|ÅJ Måleri AB
Östervallskogs Allteknik AB,5565823829,6,57,Thorängen; Hans Lennart,3,5,Östervallskogs Allteknik AB|Hans Thorängen Invest AB|GrensNet Ek. för.
Montera i Storfors AB,5568444425,4,48,Sköld; Lennart Morgan,5,6,Montera i Storfors AB|Montera i Storfors Entreprenad AB|Montera i Storfors Installation AB|Montera i Storfors Utemiljö AB|Montera i Storfors Bygg AB
Montera i Storfors AB,5568444425,4,48,Sköld; Kent Daniel,5,7,Montera i Storfors AB|Montera i Storfors Entreprenad AB|Montera i Storfors Installation AB|Montera i Storfors Utemiljö AB|Montera Seacon AB
Kylmekano i Karlstad Aktiebolag,5561907253,4,52,Johansson; Lars Fredrik,2,0,Kylmekano i Karlstad Aktiebolag|Kylmekano Holding i Karlstad AB
Rydahls Elektriska AB,5560883216,4,56,Brandt; Gustav Mattias,3,2,Rydahls Teknik AB|Rydahls Elektriska AB|CROSSOVER Handelsbolag
Tigbro Aktiebolag,5568024391,5,46,Tigér; Leif Jonas,5,2,Tigbro Aktiebolag|Husgruppen Modulsystem Jönköping AB|Tigbro Service AB|EKBRO Invest AB|Tigbro Fastighets AB
AXEDA Entreprenad AB,5566630330,3,54,Thorsson; Karl Henrik Andreas,5,4,AXEDA Entreprenad AB|Mark & Energibyggarna Infra AB|RiTho Design AB|Vikens Väst AB|Teresa Thorsson AB
NIWA Entreprenad AB,5564621018,2,69,Edlund; Gunnar Per-Erik,8,6,SVEA H AB|Sten & Vägarbeten AB|NIWA Entreprenad AB|Svea Ett AB|Vecta Förvaltning|3E Karlstad AB|Annorlunden Kommanditbolag|Svea Två AB
Nordisk Hiss i Värmland AB,5567113450,3,52,Jakobsson; Bo Jonas,1,0,Nordisk Hiss i Värmland AB
Pe Be's VVS AB,5566283718,4,59,Bergwall; Sten Patrik,2,11,Pe Be's VVS AB|K.S. Rörservice AB
Nor-Schakt Aktiebolag,5561692061,3,67,Karlsson; Alf Henrik,6,1,Värmlandsschakt ekonomisk förening|Nor-Schakt Aktiebolag|Janne Carlson Rör Aktiebolag|Grusbolaget i Karlstad Aktiebolag|Grus & Makadam i Värmland AB|Nor-Schakt Invest AB
Murverket i Värmland Aktiebolag,5564560034,4,46,Andersson; Lars Micael,3,4,Murverket i Värmland Aktiebolag|Stenen i Värmland AB|Naturstenen Fastighets AB
Probaco Sanering i Värmland AB,5569708026,4,40,Olsson; Patrik Krister Stefan,8,16,Olssons Städ i Värmland Kommanditbolag|Probaco Sanering i Värmland AB|Probaco Avfuktning i Värmland AB|Probaco i Närke AB|Probaco AB|T Olsson & Co Holding AB|Olsson cleaning technology trade mark Handelsbolag|Olssons Städ i Värmland AB
WEST 2000 Aktiebolag,5561290965,3,57,Johansson; Ove Krister Alvar,3,11,WEST 2000 Aktiebolag|Vulke'n Invest AB|Inmaco AB
Ventisol Brandventilatorer AB,5565496485,3,51,Nieminen; Juha Kristian,2,4,Brave Produktion Sverige AB|Ventisol Brandventilatorer AB
Structor Värmland AB,5567165153,6,51,Rönnbacke; Anders Lennart,2,1,Structor Projektpartner Värmland AB|Structor Värmland AB
Väg & Miljö i Karlstad AB,5566019989,2,54,Carlsson; Caroline Viktoria,1,0,Väg & Miljö i Karlstad AB
Montera i Storfors Entreprenad AB,5591358311,3,43,Sköld; Lennart Morgan,5,6,Montera i Storfors AB|Montera i Storfors Entreprenad AB|Montera i Storfors Installation AB|Montera i Storfors Utemiljö AB|Montera i Storfors Bygg AB
Montera i Storfors Entreprenad AB,5591358311,3,43,Johansson; Christer Tony,1,0,Montera i Storfors Entreprenad AB
Montera i Storfors Installation AB,5591504229,3,52,Sköld; Lennart Morgan,5,6,Montera i Storfors AB|Montera i Storfors Entreprenad AB|Montera i Storfors Installation AB|Montera i Storfors Utemiljö AB|Montera i Storfors Bygg AB
Montera i Storfors Installation AB,5591504229,3,52,Sköld; Kent Daniel,5,7,Montera i Storfors AB|Montera i Storfors Entreprenad AB|Montera i Storfors Installation AB|Montera i Storfors Utemiljö AB|Montera Seacon AB
Mindaugas Tjänster AB,5569886731,2,33,Gudas; Mindaugas,2,1,Mindaugas Holding AB|Mindaugas Tjänster AB
Lönn El Aktiebolag,5563834489,3,55,Åhlvik; Karl Jimmy,4,9,Lönn El Aktiebolag|Å&L Fastigheter AB|Åhlvik & Lönn Holding AB|Lönn Industriunderhåll AB
Pålsfolk Bygg AB,5567246821,2,51,Larsson; Knut Andreas,6,0,Pålsfolk Bygg AB|Pålsfolk Lantbruk AB|Pålsfolk AB|Bada Fiber Ekonomisk förening|Bada Herrgård AB|Fryken Entreprenad AB
Stob AB,5590251277,3,32,Asplund; Johan Linus Emanuel,2,0,Stob AB|J. Asplund Bygg
Svealands Tak i Värmland Aktiebolag,5564751260,3,53,Olsson; Leif Erik Johnny,9,1,Svealands Tak i Värmland Aktiebolag|Ilanda Ekonomikonsult Aktiebolag|Ilanda Fastigheter AB|Regnbågen Förvaltning AB|REdovisning KOnsultation Ilanda AB|Ilanda Förvaltning AB|Svealands Bil|Ilanda Invest AB|Göteborgsuddens Fastigheter AB
Spännteknik S.L.F. Aktiebolag,5563099034,4,53,Olsen; Tom Inge,1,0,Spännteknik S.L.F. Aktiebolag
NAO Entreprenad Aktiebolag,5561324285,10,58,Jansson; Gustaf Lars-Erik,5,0,LBC WETAB Wermlands Transport AB|NAO Entreprenad Aktiebolag|SPS Sunne Projekt Service|OLTAB; Omlastningsterminal Torsby AB|LBC WETAB Holding AB
Munkfors Industriteknik Aktiebolag,5567395594,5,61,Hallberg; Peter Stig Anders,3,1,Aktiebolaget Munkforssågar|Swedev Aktiebolag|Munkfors Industriteknik Aktiebolag
Säkerhetsteknik i Värmland AB,5568470420,2,48,Persson Rune; Torbjörn Mikael,6,15,Säkerhetsteknik i Värmland AB|Karlstad Solskydd Aktiebolag|A-Låssmeden i Värmland AB|Marimike AB|Tårtpinglan AB|Eldtigern Holding AB
NL Montage AB,5591479869,3,44,Nilsson; Håkan Andreas,4,5,doowin AB|NL Montage AB|Staplestreet AB|Newwin Holding AB
Snickarverkstan i Kil Aktiebolag,5564584398,2,55,Åkerberg; Axel Jonny,1,3,Snickarverkstan i Kil Aktiebolag
Wermlands Bergentreprenad AB,5568743321,2,48,Nordlander; Karl Richard,3,1,RiVer Fastigheter AB|RiVer Holding AB|Wermlands Bergentreprenad AB
Nordvärmlands Väghyvelarbeten AB,5569047573,2,45,Nilsson; Carl Johan Anders,1,0,Nordvärmlands Väghyvelarbeten AB
Skandinaviska Markgruppen AB,5591872766,3,43,Kristiansson; Roger Andreas,1,0,Skandinaviska Markgruppen AB
Rörtjänst i Kil AB,5567912240,3,55,Svedlund; Gert Harry Mikael,7,1,Rörtjänst i Kil AB|Clariety AB|Rörtjänst Fastighetsförvaltning i Kil AB|Mea Commoda AB|KILEK Invest AB|Frykåsen Invest AB|Rörtjänst Invest i Kil AB
RÅUMS MASKIN & FASTIGHET AB,5590970850,2,41,Andersson; Jan Fredrik,2,2,RÅUMS MASKIN & FASTIGHET AB|Råum's maskin
RÅUMS MASKIN & FASTIGHET AB,5590970850,2,41,Ivarsson; Maria Ann-Louise,1,0,RÅUMS MASKIN & FASTIGHET AB
PSM Project & Site Management AB,5568916620,3,53,Andersson; Bjarne Mikael,3,1,PSM Bostad Aktiebolag|BA 2.0 Aktiebolag|PSM Project & Site Management AB
Grundels Fönstermontage AB,5591106454,3,56,Grundel; Lars Conny,4,8,CG Grundels Fönstersystem AB|Grundels Fönstermontage AB|Solhemsgatans Förvaltningskonsult AB|Greenwin AB
Prepart Projekt Aktiebolag,5591451546,2,57,Frykblom; Marta Maria Kristina,25,14,Prepart Projekt Aktiebolag|M Frykblom AB|Frykblom Konsult AB|Färjestadbostäder AB|Bostadsrättsföreningen Grand Hotell Karlstad|Stugor och Tomter i Sälen AB|Bostadsrättsföreningen Lagberget|Lantmätaren Fastighets AB|Bostadsrättsföreningen Orrholmsstrand|Klara Park Fastighets AB|Nya Orrholmsbolaget 2 AB|Bjälken Fastighets AB|Bostadsrättsföreningen Valsta Square Märsta|Bostadsrättsföreningen Koltrasten i Karlstad|Parkeringsbolaget Sandgrund AB|Kvarteret Träffen Valles AB|Grand Fastigheter Holding AB|Fastighets-Kuriren AB|Bostadsrättsföreningen Södertull i Karlstad|Bostadsrättsföreningen Sundsta Torg|Sundsta Torg AB|Prepart Projekt Holding AB|Bostadsrättsföreningen Strykjärnet|Grand Fastigheter 2 AB|Bostadsrättsföreningen Sälfjällstorget
Värme & Sanitet i Grums Aktiebolag,5563497626,3,72,Elvin; Åke Kenneth,1,1,Värme & Sanitet i Grums Aktiebolag
Wermlands Larm Aktiebolag,5567063291,3,58,Nilsson; Martin John-Eric,2,4,Wermlands Larm Aktiebolag|Nya Häggeberget Invest AB
Steen & Betong Europa AB,5590794870,3,46,Steen; Anders Henry,1,1,Steen & Betong Europa AB
OBM i Karlstad AB,5568547524,4,61,Rönnerfjäll; Karl Göran Erik,2,1,OBM i Karlstad Holding AB|OBM i Karlstad AB
Lässeruds Bygg AB,5567972384,2,65,Eriksson; Hans Peter,1,0,Lässeruds Bygg AB
AK Mekaniske AB,5591183941,3,54,Helge; Carl Fabian,2,3,AK Mekaniske AB|AK Mekaniske AS Norge Filial
Träfab Entreprenad & Försäljning AB,5567866925,2,61,Larsson; Lars Ola Peter,7,12,Träfab Entreprenad & Försäljning AB|Träförädling i Karlstad AB|Landol Gräv & Schakt AB|O. Larsson Holding AB|CROBS Aktiebolag|Kvarntorps garageförening ekonomisk förening|Skattkärrs garageförening ek. för.
Probaco Avfuktning i Värmland AB,5568677347,3,52,Petersen; Lars-Eric Richard,1,1,Probaco Avfuktning i Värmland AB
ByggAktör Karlstad AB,5591067268,3,40,Nilwert; Emil Adam Oskar,3,0,A Holding Karlstad AB|ByggAktör Karlstad AB|Nilwert Invest AB
ByggAktör Karlstad AB,5591067268,3,40,Holländare; Johan Martin Lennart,2,1,A Holding Karlstad AB|ByggAktör Karlstad AB
Keyline Aktiebolag,5563551331,2,66,Forslund; Kent Gunnar Sigfrid,2,1,Keyline Aktiebolag|KEYLINE Städ & Konsult Aktiebolag
Exklusiv Byggservice Värmland AB,5591030035,2,42,Gawrychowski; Lukasz Ariel,2,0,EB Construction AB|Exklusiv Byggservice Värmland AB
SPÅRAB Aktiebolag,5566753389,3,49,Saleskog; Jonas Georg Bengt,1,1,SPÅRAB Aktiebolag
Stavnäs Tak & Bygg Aktiebolag,5564131109,2,76,Andersson; Sven Georg,2,2,Stavnäs Aktiebolag|Stavnäs Tak & Bygg Aktiebolag
Bergsängs Rör Aktiebolag,5561793067,2,78,Larsson; Conny Karl-Axel,1,0,Bergsängs Rör Aktiebolag
Hänsjön Bygg & Entreprenad AB,5591231518,2,65,Björn; Mats Erik,5,7,Mac 45 AB|Hänsjön Bygg & Entreprenad AB|Hänsjön Fastigheter AB|Hänsjön Invest Aktiebolag|Gräsdalens Fastighets AB
M.R Kyl & Värme AB,5567146047,3,55,Ols‚n; Jan Robert,1,1,M.R Kyl & Värme AB
Byggreparationer i Värmland AB,5591162705,2,41,Schytzer; Tommy Per-Olof,1,0,Byggreparationer i Värmland AB
KWFP Fastigheter i Karlstad AB,5568139272,3,55,Persson; Fredrik Kenneth,7,3,Huspartner i Skandinavien AB|Roslunde Aktiebolag|KWFP Fastigheter i Karlstad AB|iBuild Sweden AB|KW Bostad AB|KWFP Exploatering AB|KWFP Holding AB
Norway Construction AB,5569310682,4,58,Espedal Örjansen; Christian,1,1,Norway Construction AB
AB L.L:s Rörservice,5567095012,3,47,Persson; Leif Sune,1,1,AB L.L:s Rörservice
Heatia Energi AB,5566403787,2,44,Gustafsson; Kent Conny,3,1,HEATIA Klimat AB|Heatia Energi AB|Heatia Holding AB
Lesjöfors El-jour Aktiebolag,5562703008,2,67,Andersson; Mats Börje,1,0,Lesjöfors El-jour Aktiebolag
Svenskt Husmontage AB,5590707443,3,29,Bergqvist; Keith,1,0,Svenskt Husmontage AB
Svenskt Husmontage AB,5590707443,3,29,Karlsson; Eric Andreas,1,0,Svenskt Husmontage AB
Hasse Nygren Byggmontage AB,5591820013,3,59,Nygren; Ulf Niklas,2,0,Hasse Nygren Byggmontage AB|HN Plåtslageri AB
Norrstrands VVS Entreprenad AB,5568897978,3,44,Forsberg; Simon Ola,5,9,Norrstrands VVS Entreprenad AB|FOSAB Invest AB|FOSAB Kommanditbolag|Simon Forsberg Holding AB
Structor Projektpartner Värmland AB,5591511000,6,52,Carlson; Peter Erik,2,1,Structor Projektpartner Värmland AB|Ercon Projektpartner AB
Montera i Storfors Utemiljö AB,5591452874,4,44,Aspsäter; Johan Roland,1,1,Montera i Storfors Utemiljö AB
Montera i Storfors Utemiljö AB,5591452874,4,44,Aspsäter; Joakim Gabriel,1,1,Montera i Storfors Utemiljö AB
Goodmans Rörservice AB,5568046709,2,55,Goodman; Kjell Arne Tommy,1,0,Goodmans Rörservice AB
Nkontakt i Värmland AB,5567767099,2,62,Olsson Boberg; Lennart Erik,4,5,Nkontakt i Värmland AB|HyrBilsHybrider i Nordic AB|Nkontakt Fastigheter i Karlstad AB|Bostadsrättsföreningen Södra Tandådalen 1
KBF Kristinehamns Bygg och Fastighetsservice AB,5569667412,2,44,Djukic; Andjelko,3,0,Kristinehamns Stugan AB|KBF Andjelko Holding AB|KBF Kristinehamns Bygg och Fastighetsservice AB
EL SERVICE TORSBY AB,5568379068,2,50,Skogh; Tomas Mikael,2,1,E.S.T. Fastighets AB|EL SERVICE TORSBY AB
Fogfria Golv i Sunne AB,5568330780,2,58,Persson; Per Mikael,1,3,Fogfria Golv i Sunne AB
HN Plåtslageri AB,5569983660,3,59,Nygren; Ulf Niklas,2,0,Hasse Nygren Byggmontage AB|HN Plåtslageri AB
Klässbols Elteknik AB,5568309677,3,40,Andersson; Jan Christian,2,2,Klässbols Elteknik AB|Klässbols Elteknik
Rydahls Teknik AB,5560419599,3,61,Brandt; Gustav Mattias,3,2,Rydahls Teknik AB|Rydahls Elektriska AB|CROSSOVER Handelsbolag
