company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Becthel Entreprenad AB,5569316259,2,67,Elofsson; Lars Gunnar Magnus,4,12,Svenska Anläggning AB|Becthel Entreprenad AB|Svenska Väg Maskin Aktiebolag|SVENSKA VÄG & BRO AB
Beg Bygg Sanering i Södertälje Aktiebolag,5563350783,4,55,Manfredson; Lars Michael,4,3,Beg Bygg Sanering i Södertälje Aktiebolag|MM Bygg Michael Manfredson AB|JJM Fastigheter i Södertälje Handelsbolag|FamiljeFastigheter i Sverige AB
Belamo AB,5566267885,2,48,Blomqvist; Patrik Karl Ingvar,6,4,Bygg & Isolering Hansen AB|Gärdsta Rör Aktiebolag|Belamo AB|Belamo VVS AB|Variator i Östersund Aktiebolag|Hagadahls Invest AB
El & Belysningsteknik i Eskilstuna AB,5568316078,4,44,Krising; Hans Fredrik,2,0,Krising Holding AB|El & Belysningsteknik i Eskilstuna AB
BEMAB Mark och utemiljö AB,5564408846,3,52,Arnell; Jonas Peter,2,1,BEMAB Mark och utemiljö AB|Furubo Invest AB
BeMå-LYFT i Örebro Aktiebolag,5562131382,3,61,Mårtensson; Brita Eva-Karin,3,9,BeMå-LYFT i Örebro Aktiebolag|BeMå Trading AB|Fastighetsaktiebolaget Distributören
BN Schakt AB,5564469483,5,46,Nilsson; Jim Richard,2,0,BN Schakt AB|Brukshotellet i Strömsnäs AB
Bengt Stenberg Måleri i Jönköping Aktiebolag,5565186748,3,52,Behrmann; Leif Ronnie,2,5,Måleriföretagen i Sydost Serviceaktiebolag|Bengt Stenberg Måleri i Jönköping Aktiebolag
Bengt Stenberg Måleri i Östhammar Aktiebolag,5564681582,3,52,Ådvall; Karl Ulf Ingemar,5,3,Herb. Hagblom Aktiebolag|Bengt Stenberg Måleri i Östhammar Aktiebolag|Hagbloms Marint Måleri AB|CH Fastigheter i Växjö Aktiebolag|Ulf Ådvall Förvaltning AB
Bengt-Ove's Gräv AB,5569032856,3,53,Emanuelsson; Bengt Ove Håkan,2,0,Bengt-Ove's Gräv AB|BOE Kinnareds Gräventreprenad
Benny Nilssons Byggnads Aktiebolag,5561994426,4,56,Nilsson; Hans Robert,12,10,Färghuset Österport AB|Benny Nilssons Byggnads Aktiebolag|Strömmafastigheter i Karlshamn AB|Ronneby Färg AB|Rosengrens Färgcenter AB|Nya Ohrstedts Färg AB|Benny Nilssons Fastighets AB|Hazelavellana AB|Ronneby Färgfastigheter AB|Karlshälls Fastigheter AB|Aktiebolaget Karlshälls Granitindustri|Berto Fastigheter AB
Bentech Ingenjörsaktiebolag,5561689844,3,49,Jansson; Mats Erik Stefan,2,3,Bentech Ingenjörsaktiebolag|Alural Balkongbeklädnad Aktiebolag
Berg & Betongtätning i Sverige AB,5590596473,4,53,Tamminen; Kai Joakim,2,1,Berg & Betongtätning i Sverige AB|Peab Grundläggning Aktiebolag
Berg & Brykt Entreprenad AB,5567736011,3,66,Berg; Magnus,3,0,Berg & Brykt Entreprenad AB|Berg & Brykt T F AB|Berg & Brykt AB
Berg & Makadam i Grängesberg Aktiebolag,5561904276,3,71,Andersson; Lars Erik,3,3,LOFAB Lars-Erik Andersson Aktiebolag|Gräv & Schakt i Grängesberg L-E Andersson         Aktiebolag|Berg & Makadam i Grängesberg Aktiebolag
Berga Markentreprenad AB,5569171761,2,27,Källbom; Karl Viktor,3,2,Golv och Betongteknik i Mellansverige AB|Berga Markentreprenad AB|Källbom Holding AB
Bergendahls El Energiteknik AB,5567655286,4,52,Björnefors; Berndt Mikael,4,3,Omvägen Holding AB|Bergendahls El Energiteknik AB|Mikael Björnefors Invest AB|Fastighetsbolaget Omvägen AB
Bergendahls El i Kungälv AB,5565362448,3,48,Andreasson; Johan Erik Arthur,2,5,Bergendahls El i Kungälv AB|Johan Ludwig VCDC AB
Bergendahls El Service Aktiebolag,5565362430,3,52,Nylén; Mats Arne,1,0,Bergendahls El Service Aktiebolag
Bergentreprenad i Uppsala AB,5567451041,2,42,Jansson; Nils Martin,3,3,Rasbo Entreprenad & Förvaltning AB|Bergentreprenad i Uppsala AB|Markentreprenad i Uppsala AB
Bergenudds Byggnads Aktiebolag,5562341130,nan,nan,Lindbäck; Dan Robert,1,8,Darolin bygg AB
Bergförstärkningsgruppen i Sverige AB,5568901333,3,51,Fredriksson; Jan Emil,2,3,Bergförstärkningsgruppen i Sverige AB|Stavsätra Allservice
Berggren Byggare i Stuvsta Aktiebolag,5565535621,2,50,Berggren; Anders Karl Helge,2,3,Habitant Provider AB|Berggren Byggare i Stuvsta Aktiebolag
BergLastning Gve AB,5590586607,3,62,Almgrund; Lars Mikael,16,7,MineDrill Gve AB|EUROMINING AB|Lars Almgrunds Åkeri Aktiebolag|RF Mining AB|BergLastning Gve AB|Bryggeribacken i Gve AB|Däckfirman Gve AB|Euroförmedling AB|LPH Fastigheter AB|Lars Almgrund Åkeri|Telemäklarna Fastigheter AB|Klubbens Entreprenad AB|ML Pitefastigheter AB|SA Mining AB|Lars Almgrunds Förvaltning. AB|MineralProjekt Gve AB
Berglid Allservice AB,5568568058,2,51,Forslund; Magnus,3,7,Bollsta Byggnadsställningar AB|Kapatsa AB|Berglid Allservice AB
Berglund Bygg AB,5564601093,4,37,Holmström; Erik Kristoffer,4,12,Berglund Bygg AB|Sol Noctis AB|Tobbe Westerlind Bygg AB|Kristoffer Holmström Bygg AB
Bergqvist&Son Schakt AB,5569994105,nan,nan,Bergqvist; Rickard,1,6,RE Markservice
Bergs El & Regler AB,5565308110,2,42,Kjellberg; Alf Jimmy,2,0,Bergs El & Regler AB|JIMATEMT Förvaltning AB
Bergs El & Regler AB,5565308110,2,42,Vidman; Tord Markus,2,0,Bergs El & Regler AB|JIMATEMT Förvaltning AB
