company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
EL-Miljö J&P AB,5569055725,3,45,Lindfors; Jimmy Tobias,1,1,EL-Miljö J&P AB
El-Service i Glimåkra Aktiebolag,5562459338,2,54,Linde; Nils Ingvar,4,0,El-Service i Glimåkra Aktiebolag|JP Hushållsservice Aktiebolag|Broby Hushållsservice Aktiebolag|AB Ekonomiservice i Glimåkra
El-team Johansson och Bjurström Aktiebolag,5562090851,3,41,Lindén; Leif Mikael,1,1,El-team Johansson och Bjurström Aktiebolag
El-Teleteknik i Sverige AB,5567073241,2,41,Åström; Erik Jonas,4,2,El-Teleteknik i Sverige AB|Vargmötet 2:276 AB|J2 Holding i Sverige AB|Vargmötet 2:277 AB
El-Teleteknik i Sverige AB,5567073241,2,41,Holmgren; Jens Joakim Kjell,4,2,El-Teleteknik i Sverige AB|Vargmötet 2:276 AB|J2 Holding i Sverige AB|Vargmötet 2:277 AB
EL&VVS Koncept Göteborg AB,5569829319,3,35,Hagström; Johan Niclas,2,0,VVS Koncept Göteborg AB|EL&VVS Koncept Göteborg AB
EM Carlsson Bygg & Anläggning AB,5590383401,2,59,Carlsson; Erik Magnus,3,4,Prismat Holding AB|EM Carlsson Bygg & Anläggning AB|PMR Holding i Mälardalen AB
EM PLATT Aktiebolag,5563249829,3,50,Björndal; Johny Kenneth,3,8,EM PLATT Aktiebolag|J Björndal Holding AB|EMB Platt AB
KR Resurs AB,5590125703,2,45,Kökény; Robert,2,4,KR Resurs AB|K&R Plattsättning
EM & Co BYGGKONSULT AB,5590789235,3,36,Meskenas; Egidijus,4,0,EM & Co BYGGKONSULT AB|MID Capital Invest AB|EM & Co Invest AB|EMJ Design AB
EMB Platt AB,5568611940,2,48,Björndal; Johny Kenneth,3,8,EM PLATT Aktiebolag|J Björndal Holding AB|EMB Platt AB
Emcotech AB,5565106761,2,64,Carlsson; Mats Anders,6,11,Emcotech AB|PEKEAN AB|Fastighetsaktiebolaget Alert|Emcotech Holding AB|Palmstranden AB|Emcotech Invest AB
