name,id,number_of_board_members,avg_age_of_board,total_active_assignments,total_prev_assignments
Hammarängens Bygg & Måleri AB,5569606493,4,37,nan,nan
Hammarö Bergsprängning Aktiebolag,5562364769,2,34,2,0
Hammarö bygg & kakel AB,5569110348,2,39,nan,nan
Hammarö Grävtjänst AB,5569460271,2,34,nan,nan
Hammarö Måleritjänst AB,5566170527,2,57,nan,nan
Hammerins Bygg AB,5590491402,,,nan,nan
Hammersta Fastigheter AB,5564937737,4,64,11,21
Hamn och Sjö Väst AB,5567170690,2,62,nan,nan
Hamnab Sjöentreprenader AB,5566802616,3,62,3,12
Hamre Gräv AB,5565705141,3,42,nan,nan
Hamringe Blästring AB,5565515631,2,60,nan,nan
Hamu Glasmästeri Aktiebolag,5560784307,2,57,nan,nan
Han sa Bygg Maskin AB,5567884555,2,45,15,17
Hana Entreprenad AB,5567475362,3,56,nan,nan
Handen Bygg AB,5568281496,2,70,nan,nan
HandiTeam AB,5565876058,2,48,nan,nan
handmade houses Österlen AB,5569600983,2,62,nan,nan
Handyman i Ystad AB,5567427900,,,nan,nan
Hanell Entreprenad i Gävle AB,5568868011,2,51,6,10
Haninge Brunnsborrning AB,5564940673,2,56,nan,nan
Haninge El & personal AB,5565152484,,,nan,nan
Haninge Golv- & Byggservice AB,5565715397,2,54,nan,nan
Haninge Life Fastighets AB,5569204240,6,64,38,49
Haninge Lås AB,5560953142,2,44,5,8
Haninge Tak & Plåt AB,5565670402,3,45,nan,nan
Haninge Terrazzogolv AB,5568152689,2,53,nan,nan
Hanold El & Kraft AB,5568218944,2,62,nan,nan
Hans Ahlman Pool & Konsult AB,5567921720,2,63,nan,nan
Hans Brennius Åkeri och Transport Aktiebolag,5564109790,2,52,nan,nan
Hans Engqvist Bygg AB,5566509765,2,60,nan,nan
Hans Eriksson Plattsättning AB,5567899512,2,54,nan,nan
Hans Frisk Bygg AB,5567344972,1,60,nan,nan
Hans Isbergs Måleri Aktiebolag,5564506730,2,65,nan,nan
HANS JIMMY's MÅLERI AB,5569888661,2,38,nan,nan
Hans Nylander AB,5590100797,2,50,nan,nan
Hans och Sture Nilssons Byggnads Aktiebolag,5561784199,3,73,nan,nan
Hans Plåt AB,5567154421,3,51,nan,nan
Hansa Holmberg Entreprenad AB,5564497955,2,57,nan,nan
Hansa Byggpartner AB,5564071537,5,53,1,1
Hansen Lau Entreprenad AB,5564610656,,,1,6
Hansson Bygger i Östra Karup AB,5567858955,2,50,nan,nan
Hansson Leif Elservice AB,5565495586,2,59,nan,nan
Hansson & Bergqvist Entreprenad AB,5566960018,2,39,nan,nan
Hansson & Hansson Rör Aktiebolag,5561393710,3,61,6,17
Hansson & Holmgrens Plåtslageri AB,5565905154,2,55,3,1
Hansson & Karlsson Aktiebolag,5563041150,2,40,nan,nan
Hansson & Söner Schakt Aktiebolag,5561205369,3,57,nan,nan
Hansson & Wikskal Byggplåt Aktiebolag,5563207223,4,61,nan,nan
Hanssons Gräv & Schakt i Helsingborg AB,5566838735,2,52,1,2
Hanssons Maskin & Entreprenad AB,5569183022,2,31,nan,nan
Hanssons Rivning och Håltagning AB,5567734669,,,nan,nan
Hanssons Schakt Orust AB,5568790231,4,43,2,2
Hantverkarna Bygg 0171 AB,5569061665,2,51,nan,nan
Hantverkarna i Nacka AB,5566593371,2,51,nan,nan
Hantverkarna i Östergötland AB,5590457163,,,nan,nan
Hantverksfabriken i Växjö AB,5567256390,2,53,5,0
Hantverksgruppen Fältet plåtslageri Aktiebolag,5561461707,3,46,nan,nan
Hantverksgruppen i Lycksele Måleri AB,5567760276,2,39,nan,nan
Hantverkshuset Östermalm Aktiebolag,5563471308,2,48,3,3
Hantverkspoolen i Uppland AB,5567341903,2,61,nan,nan
Hanvikens Elektriska AB,5565345443,2,43,nan,nan
HAPARANDA KOMMUN,2120002775,,,nan,nan
Hard Workers of Sweden AB,5568881733,2,53,nan,nan
Harekullens Entreprenad AB,5567214688,2,55,nan,nan
Hargassner Sverige AB,5569216475,2,54,nan,nan
HARMET MODULAR BUILDING OÛ,5020783758,,,nan,nan
HARMET OÜ,5020680749,,,nan,nan
Harri Hynynen Ventilation & Bygg AB,5568140544,2,43,nan,nan
Harry J Måleri&Consult AB,5566654249,3,65,1,1
Harry Johnssons Rörledningsverkstad AB,5567139760,2,54,nan,nan
Harry P Rör & Värme AB,5568479975,2,65,nan,nan
Harry Söderström Entreprenadmaskiner Aktiebolag,5561910299,3,51,nan,nan
Harryssons Golv och Måleri AB,5590351481,3,52,1,1
Harsco Rail Sweden Filial,5164110206,,,2,0
Hartvigsons Bygg Aktiebolag,5560411588,3,50,nan,nan
Hasins Bygg Platt AB,5569842759,2,32,nan,nan
Hasse Malmströms El Aktiebolag,5560975095,2,61,1,0
Hasse Stenmark Aktiebolag,5563750958,3,50,nan,nan
Hasse Yngve's Elservice Aktiebolag,5563921666,2,65,nan,nan
Hasselbergs VVS AB,5568083462,2,54,nan,nan
Hatten Schakt & Entreprenad AB,5567881536,5,46,nan,nan
HAVATOR OY,5020521505,,,nan,nan
Havstorp bygg & inredning AB,5569381550,2,53,nan,nan
SEVER Consulting AB,5569086456,2,36,nan,nan
HB Anläggning AB,5569315087,2,39,nan,nan
Handelsbolaget Eltjänst Holgersson & Co,9696414359,2,73,nan,nan
Handelsbolaget G A Carlsson & Son Entreprenad,9165272502,2,71,nan,nan
HANDELSBOLAGET H T PÅLSSON,9164382203,2,68,nan,nan
HANDELSBOLAGET KYL OCH VÄRMEAUTOMATIK SERVICE,9164371271,2,53,nan,nan
Handelsbolaget Lindströms Glas & Golv,9970000932,,,nan,nan
Handelsbolaget Silverdal Exploatering,9696745802,3,50,nan,nan
Handelsbolaget Åkes Hjullastartjänst,9165738304,2,64,nan,nan
HBC Entreprenad AB,5569303885,3,48,1,8
Hbg Fasad & Tak AB,5569422693,2,31,nan,nan
Hbg Undertak AB,5567405914,2,55,nan,nan
HBG Vent & Styrteknik AB,5566450333,2,49,nan,nan
HBM Dyk Entreprenad Aktiebolag,5567958789,2,52,nan,nan
HBrandén Service AB,5569331860,2,48,nan,nan
HC Telecom AB,5569442444,2,48,1,2
HCT El Concept AB,5569390841,2,44,nan,nan
He Da Rör AB,5566085675,2,60,nan,nan
He Pe Bygg Aktiebolag,5564996030,3,38,nan,nan
HEAB Stängsel Aktiebolag,5561274696,4,53,4,4
Headtown Husproduktion AB,5590631163,2,42,nan,nan
HEAT Entreprenad AB,5568169964,2,57,nan,nan
HEATTEQ REFRACTORIES SERVICES BV,5020702766,,,nan,nan
Heaver Bitsch Bygg Aktiebolag,5565950523,4,44,nan,nan
HEAVY CRANES OU,5020796016,,,nan,nan
Hebrant Bygg & Kretslopp Aktiebolag,5564578952,2,45,nan,nan
HebyNet AB,5564157419,5,52,nan,nan
HEDBERG SCHAKT OCH DRÄNERING,9340057521,,,nan,nan
Hedbergs Gräv- och Lasttjänst Aktiebolag,5561677757,3,56,nan,nan
Hedbergs Rör Aktiebolag,5564871779,3,46,1,0
Hedbergs Tak Aktiebolag,5565761490,3,50,nan,nan
Hedboms Måleri AB,5567828743,4,54,4,3
Hedekas Borr och Ladd Aktiebolag,5566775028,2,52,nan,nan
Hedekas Entreprenad AB,5569644163,2,49,nan,nan
Hedemora Elkraftmontage AB,5565863569,2,57,nan,nan
Hedemora Inomhusmiljö AB,5590461983,3,54,9,7
Hedemora kommunfastigheter AB,5561977975,12,57,2,1
Hedemora Mark AB,5562472976,2,40,5,4
Hedens Rör AB,5568131725,2,51,nan,nan
Hedéns Sjuhärad AB,5569785222,3,37,nan,nan
Hedenskog Betong i Uppsala AB,5569279473,4,50,nan,nan
Hedenskog konsult AB,5569361362,2,51,nan,nan
Hedenskog Rör AB,5561360941,2,57,nan,nan
Hedfors Mark & Trädgårdseliten AB,5590044276,2,52,5,4
Hedgrens Entreprenad i Luleå Aktiebolag,5566910492,2,42,nan,nan
Hedins Hjulgrävmaskiner AB,5563556264,3,59,nan,nan
Hedklints El & Datamontage AB,5563984060,2,63,nan,nan
Hedlunds Bilfrakt AB,5566264593,3,59,4,3
Hedlunds Glas i Katrineholm Aktiebolag,5564158029,2,45,nan,nan
Hedlunds Glasmästeri i Ljusdal AB,5565909586,2,50,nan,nan
Hedlunds Måleri i Göteborg Aktiebolag,5565696282,2,52,8,6
Hedmans Plåt AB,5568233893,2,51,nan,nan
Hedmans Schakt i Åsarna AB,5565787974,2,55,nan,nan
HEDRICH GMBH,5020778949,,,nan,nan
Hedströms Bygg & Fastighets Service AB,5568211139,2,43,nan,nan
Hedströms Lastmaskiner AB,5566492434,3,46,nan,nan
Heidenstamska Investeringsaktiebolaget,5567191290,2,43,5,7
Heijel & Company AB,5566982095,3,32,nan,nan
Heimdall Industrigolv AB,5567670350,3,60,nan,nan
Heino Minkkinen Bygg AB,5566211800,1,62,nan,nan
Hejdenbergs Bygg Handelsbolag,9696080580,2,53,nan,nan
Hekuri Svets & Montage AB,5568693526,2,38,nan,nan
HELAB Automation & Elinstallationer               AB,5563292928,3,69,3,8
Helanders Måleri AB,5569107310,2,58,nan,nan
Helge Johnssons Byggnadsfirma Aktiebolag,5563753341,3,53,9,19
HELGESEN ENGROS AS,5020676697,,,nan,nan
Helgö Mark Konsult AB,5568402738,2,52,1,1
Helin & Hellström Plattsättning AB,5568828270,2,47,1,2
Heliopol bygg AB,5566987466,1,34,nan,nan
Helistens Katrineholm AB,5562536598,2,61,nan,nan
Helistens Mark & Asfalt Aktiebolag,5564726114,3,54,4,21
Helledals Bygg AB,5568003197,2,39,3,3
Helléns Plåtslageri AB,5563236602,5,50,2,0
Hellestigs Rör AB,5590495403,2,43,nan,nan
Hellgren Maskin Aktiebolag,5563039295,2,56,nan,nan
Hellgrens Gräv Aktiebolag,5563685972,3,50,nan,nan
Hellgrens Ventilation & Bygg AB,5568808520,2,53,nan,nan
Hellmac Aktiebolag,5561770685,2,46,nan,nan
Hellsing & Lidqvist AB,5590183439,4,53,4,2
Hellstrands Golv Aktiebolag,5561162818,2,39,2,0
Hellström Marin AB,5567116982,3,39,nan,nan
Hellström Rosén VVS Aktiebolag,5565547188,4,54,nan,nan
Helmer Lövkvist Golvbeläggningar Aktiebolag,5561629964,3,57,nan,nan
Helob Bygg AB,5566351051,4,38,nan,nan
Helsingborg Fasad & Murning AB,5568985377,2,44,nan,nan
Helsingborg Måleri AB,5569990541,2,52,nan,nan
Helsingborgs All-Elektro AB,5564938503,4,47,2,1
Helsingborgs Bygg och Förvaltning AB,5562495530,,,nan,nan
Helsingborgs Byggplåt AB,5567227532,2,54,8,4
Helsingborgs Fasad & Kakel AB,5567814248,2,50,6,9
Helsingborgs Stängsel AB,5569280745,2,60,3,2
Helsingborgs Takentreprenad AB,5569008120,2,45,nan,nan
Helsingedörren AB,5567003966,2,58,1,2
HELUX Storkök och Inredningar AB,5568855422,2,37,nan,nan
HELWANDER AB,5569295065,2,39,nan,nan
Hemavan Fjällkedjan AB,5567190300,5,54,4,18
Hemavans Bygg & Rep AB,5565962809,3,55,nan,nan
Hembad Sverige AB,5567224976,2,45,nan,nan
SBB Importen 4 Fastighets AB,5566851233,3,44,nan,nan
Hemkomfort; Svenska Hem och Miljö Aktiebolag,5564757788,5,54,3,4
Hemlingby Mark & Bygg AB,5563509792,2,55,nan,nan
Hemmans Bygg AB,5567746879,2,58,nan,nan
Hemmingssons Bygg AB,5568093198,2,48,nan,nan
Hemovera AB,5590861109,2,56,nan,nan
