company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Bolaget NQAC AB,5590699921,2,53,Lindqvist; Hans Grim,1,5,Bolaget NQAC AB
Rödöbygdens fastigheter AB,5568607971,4,70,Thorén; Matts Göran,3,5,Bostadsrättsföreningen Bastukatten 13|Rödöbygdens fastigheter AB|M. Thorén Aktiebolag
Byggös Aktiebolag,5563933976,2,58,Dillner; Stig Gunnar,1,0,Byggös Aktiebolag
Habelia Bygg- och Cadteknik AB,5565446118,3,59,Nilsson; Lars Gösta,4,1,Habelia Bygg- och Cadteknik AB|Bostadsrättsföreningen Sjöbodarna 2 i Östersund|Sjöbodarna Garage AB|HABELIA Förvaltning AB
Östersunds Glasmästeri Aktiebolag,5560719311,2,47,Johansson; Nils Erik Thomas,2,4,"Östersunds Glasmästeri Aktiebolag|Forsbergs Glasmästeri Nisse ""Skepparn""            Johansson Aktiebolag"
Åre Elinstallationer AB,5590092127,4,48,Olsson; Olof Roger,1,1,Åre Elinstallationer AB
Åre Elinstallationer AB,5590092127,4,48,Jönsson; Johan Anders,1,0,Åre Elinstallationer AB
NOR. ROCK Consulting AB,5568112055,2,62,Martinsen; Jan Morten,16,17,KM Bolig AB|NOR. ROCK Consulting AB|Koma Holding II AB|Bostadsrättsföreningen SKI Sadeln|Bostadsrättsföreningen Tege Lyx II|Bostadsrättsföreningen Smultronet 17 i Åre|Koma Holding III AB|Projektbolag Åre - Berge 2 : 181 AB|Koma Holding AB|Bostadsrättsföreningen Tegefjäll panorama|Koma Holding IV AB|Bostadsrättsföreningen Ski Hamre II|Bostadsrättsföreningen Ski Hamre|Hamrebo mark AB|Projektbolaget Tegefjällsvägen 92 AB|Bostadsrättsföreningen Ski Hamre III
Install Fiber I Jämtland AB,5590068283,3,41,Fransson; Jan Urban,19,24,Install Nordic AB|Install Fiber I Norr AB|Norsjöfrakt AB|Install EL I Norr AB|U-lift AB|Freno AB|Step In AB|Install Fiber i Västerbotten AB|Install Fiber I Jämtland AB|Miljöverkarna AB|Ortman Specialanpassningar AB|QFL Fastigheter AB|Hemlunda Invest AB|Fordonsanpassningar i Norr AB|Norsjöfrakt Kapitalförvaltning Ekonomisk förening|Install EL I Umeå AB|Install Fastigheter I Norr AB|Install Fiber I Västernorrland AB|Freno Holding AB
Agamus AB,5591551345,3,44,Andersson; Bengt Andreas,1,3,Agamus AB
Nordställningar i Östersund AB,5565910212,4,54,Eriksson; Lars Henrik,4,1,Nordställningar i Östersund AB|Stall Nordställningar Handelsbolag|Nordställningar Fastigheter AB|Nordställningar AB
Rörtjänst i Sveg Aktiebolag,5562591130,2,55,Johansson; Per Gustav,2,3,Lexcon AB|Rörtjänst i Sveg Aktiebolag
Rörtjänst i Sveg Aktiebolag,5562591130,2,55,Viberg; Tina Anna Marlene,2,3,Lexcon AB|Rörtjänst i Sveg Aktiebolag
MARAD Bygg AB,5591407522,3,38,Piaskowski; Czeslaw,1,0,MARAD Bygg AB
MARAD Bygg AB,5591407522,3,38,Piaskowski; Adam Krzysztof,1,2,MARAD Bygg AB
Spektrumare AB,5569090557,7,45,Nilemo; Bengt Pontus Andreas,2,9,Spektrumare Partners Sweden AB (publ)|Spektrumare AB
Solenergi Norr AB,5569089526,3,33,Arnqvist; Tony Christian,1,2,Solenergi Norr AB
KrÅs Ventilation AB,5568979438,2,44,Toivanen; Hannu Kristoffer,6,6,KrÅs Ventilation AB|KrÅs Förvaltning AB|KrÅs AB|ArbeteMedAnsvar inom ventilation i Sverige|Vent & Byggpartner i Årsta AB|99feet AB
Markus Milde Aktiebolag,5591081533,2,44,Milde; Per Markus,4,1,Markus Milde Aktiebolag|Asbest inspektionen Nord AB|Milde Gruppen AB|Milde Holding AB
Devico Sweden AB,5568726680,4,47,Olsø; Erlend,1,2,Devico Sweden AB
Ljusmontage i Jämtland AB,5567882427,3,42,Leffler; Per Arne,2,5,Ljusmontage i Jämtland AB|Stabilisator AB
Rörprodukter Montage Sverige AB,5568858400,4,36,Thors; Michael Andreas,5,7,Rörprodukter i Norrland AB|Rörprodukter Montage Sverige AB|CurlySounds AB|Aktiebolaget Grätt|AB Seastedt Invest
PN Tek i Strömsund AB,5568202211,2,41,Nordström; Erik Peter,5,3,PN Tek i Strömsund AB|KÅP AB|PN Tek|PN Motor AB|Peter Nordström Holding AB
Åre Entreprenad AB,5564018710,4,57,Haglund; Sven Rickard,4,1,Åre Byservice Aktiebolag|Åre Entreprenad AB|This is Åre AB|Rask Entreprenad AB
GUDÖ PLATTSÄTTNING AB,5591362941,3,39,Kemppainen; Henrik Robin,1,3,GUDÖ PLATTSÄTTNING AB
Nordic Technician AB,5591279632,3,53,Paulsson; Hans Thomas,1,0,Nordic Technician AB
Nordic Technician AB,5591279632,3,53,Jonsson; Olof Nicklas,2,3,Nordic Technician AB|Rekorderligt
Z-Brunnsborrning AB,5566058144,2,61,Bixo; Erik Martin,2,0,Z-Brunnsborrning AB|Z Brunnsborrning
Rogers Plåtslageri AB,5569211237,2,58,Dalborg; Kurt Roger,3,1,Byggskyltbolaget i Jämtland Aktiebolag|Rogers Plåtslageri AB|Roger's Plåtslageri
Krister Mellbergs Maskin AB,5565308367,2,51,Mellberg; Jarl Christer,1,2,Krister Mellbergs Maskin AB
Vemdalspojkarna Bygg AB,5591104590,2,30,Sterner; Sven Ola Torbjörn,2,0,Blomqvist i Bergsviken AB|Vemdalspojkarna Bygg AB
Sandnäset Bygg & Entreprenad AB,5591458913,2,49,Jönsson; Björn Magnus,1,4,Sandnäset Bygg & Entreprenad AB
Österede Wood & Business AB,5568200827,2,62,Borglund; Margot Ann-Sofi,2,5,Borglunds fastighets AB|Österede Wood & Business AB
PeeM-Bygg AB,5567151708,2,56,Landén; Per Magnus,3,2,Permlan Holding AB|PeeM-Bygg AB|PeeM Fastigheter AB
Z Nordisolering eftr.och Bygg AB,5569816498,2,54,Jonsson; Thomas Ove,2,1,Z Nordisolering eftr.och Bygg AB|Omnia possibilia Kommanditbolag
Marklunds Invest i Östersund AB,5567389027,6,61,Marklund; Jens Hugo,6,6,Marklunds El AB|Marklunds Service AB|Marklunds Invest i Östersund AB|Östersund Eldaren 1 Fastighets AB|Riksbyggen Bostadsrättsförening Brunflohus nr 1|S.H. Marklunds El Aktiebolag
Perssons VVS Rossön AB,5591594634,2,30,Persson; Karl Martin Elias,1,0,Perssons VVS Rossön AB
Falk VVS Åre AB,5590908991,2,35,Falk; Erik Christopher,1,0,Falk VVS Åre AB
JRJ Mark AB,5590932207,2,67,Jonsson; John Rickard,1,4,JRJ Mark AB
Höögs Byggservice i Östersund AB,5566654330,2,43,Höög; Karl Andreas,1,0,Höögs Byggservice i Östersund AB
Ekbergs Allkraft AB,5568416357,2,30,Ekberg; Karl Erik Johan,1,1,Ekbergs Allkraft AB
Golvtjänst G Enderberg Aktiebolag,5563654689,2,60,Enderberg; Björn Olov,4,5,Golvtjänst G Enderberg Aktiebolag|Svartberget Fastigheter AB|Ullebodarna Egendomar AB|Ullebodarna Holding AB
Berglunds schakt och entreprenad i Åre AB,5591627335,2,32,Berglund; Joakim Lars Andreas,1,0,Berglunds schakt och entreprenad i Åre AB
Bröderna Alfredssons Markentreprenad AB,5567971774,3,44,Alfredsson; Dick Alexander,2,0,Vägbolaget Asfalt i Stugun AB|Bröderna Alfredssons Markentreprenad AB
Åre Markentreprenad & Service AB,5568500457,2,62,Rutgersson; Anders Mathias,1,4,Åre Markentreprenad & Service AB
Flon VVS AB,5591834436,2,25,Karlsson; Jacob Karl Conny,1,1,Flon VVS AB
Toréns H Maskin i Östersund AB,5564785839,2,59,Torén; Olof Kristoffer,15,7,Torén Holding AB|Toréns Entreprenad i Östersund AB|Toréns i Åre AB|Härberget 4 i Östersund AB|Toréns H Maskin i Östersund AB|Sandnäset Sjöstad Utvecklings AB|Toréns Fastigheter AB|Stina Torén AB|Toréns Garage AB|Toréns Fritid AB|Norra Åsvägen 93 Fastigheter AB|Toréns Evolution AB|Toréns Utvecklings AB|Österkilen Dvärsätt AB|Kritor i Östersund AB
Wikmans timring & bygg i Åkeräng AB,5567435762,2,45,Wikman; Jonas Andreas,3,2,Jeel AB|Kungen & Co AB|Wikmans timring & bygg i Åkeräng AB
YZ Gruv & Berg AB,5590542402,2,43,Sjödin; Erik Örjan,3,0,Örjan Sjödin AB|TC Optik i Härnösand Aktiebolag|YZ Gruv & Berg AB
YZ Gruv & Berg AB,5590542402,2,43,Ingebrigtsen; Henrik Stig Gunnar,3,0,YZ Gruv & Berg AB|Stall Applejack Handelsbolag|Stall 007 Handelsbolag
Nilssons EL i Östersund AB,5568258254,2,48,Nilsson; Olof Stefan Niklas,2,3,Stefan Nilsson EF|Nilssons EL i Östersund AB
Hålén's Ventilationssanering i Jämtland Aktiebolag,5565880159,2,59,Hålén; Hans Patrik,5,6,Triconor Aktiebolag|Hålén's Ventilationssanering i Jämtland Aktiebolag|Protect MPH i Jämtland AB|Tumspiken Invest AB
Husgrunder och Markplanering Stefan Björklund AB,5567786693,2,46,Björklund; Stefan,1,0,Husgrunder och Markplanering Stefan Björklund AB
N Olofsson Gräv AB,5569214942,2,49,Olofsson; Jan Nicklas,1,4,N Olofsson Gräv AB
Nien AB,5591100655,2,38,Ångström; Niclas Per,1,1,Nien AB
Gullik Bygg AB,5567202006,2,47,Holmgren; Pär Mårten,2,1,DG Assist AB|Gullik Bygg AB
Emil Moberg Bygg&Mark entreprenader AB,5591544910,2,44,Moberg; Eric Emil,1,1,Emil Moberg Bygg&Mark entreprenader AB
LEFA Montage AB,5592097769,3,48,Olsson; Lars Erik,3,3,LEFA Montage AB|Sundsjö Vind AB|Sundvest AB
LEFA Montage AB,5592097769,3,48,Olsson; Jens Erik,2,1,Sundvest AB|LEFA Montage AB
