company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Bolaget NQAC AB,5590699921,2,53,Lindqvist; Hans Grim,1,5,Bolaget NQAC AB
GBJ Bygg AB,5566384110,6,51,Dahlström; Staffan Gunnar,110,120,ByggUt-Dahlström Byggutveckling AB|GBJ Bygg AB|GBJ Bostadsutveckling AB|GBJ Construction AB|GBJ Bygg Väst AB|GBJ Bygg i Jönköping AB|Norden Construction AB|GBJ Bygg Kalmarsund AB|VIDA Building AB|GBJ Kosmos AB|GBJ Dörren AB|Bröderna Dahlström Fastigheter i Evedal AB|SantHem Lingonet AB|SantHem Råstenen 1 AB|Bröderna Dahlströms Fastigheter AB|GBJ Fastighets AB|GBJ Bostad Väbeln AB|Thelestads Herrgård AB|GBJ 1 Grip Fastighets AB|GBJ Lanternan 3 AB|Åhus Stranden 1 AB|Trend Fastighets AB|GBJ Fläktentomten AB|Persnäs-Sandvik Fastigheter AB|GBJ Snöfastigheter AB|SantHem Sågcrona 1 AB|Fladern Bygg & Fastighets AB|GBJ Bygg Väst II AB|Åhus Bostadsutveckling AB|Björkvikens Bygg AB|GBJ Lärkgatan AB|GBJ Banvallen AB|GBJ Östra Färjestaden 2 AB|GBJ Holding AB|Helgablick AB|GBJ Västansjö AB|GBJ Väst Holding AB|GBJ Klockaren AB|Bostadsrättsföreningen Vattenparken|GBJ Bostadsutveckling Holding V AB|Bröderna Dahlström Holding AB|Bostadsrättsföreningen Solstrimman|GBJ Bostadsutveckling IIII AB|GBJ Arken AB|Kuggås strand Mönsterås AB|GBJ Bostadsutveckling Holding III AB|Bostadsrättsföreningen Tallslätten i Åhus|Exploateringsfabriken i Växjö AB|GBJ Bostadsutveckling Holding IX AB|GBJ Holding II AB|Bostadsrättsföreningen Decauville|Bostadsrättsföreningen Hammarsby i Kristianstad|Bostadsrättsföreningen Lofthusen|Bostadsrättsföreningen Åhus Brygga|GBJ Bostadsutveckling Holding VIII AB|Bostadsrättsföreningen Norrängen i Lidköping|Bostadsrättsföreningen Ödlan|SantHem Eklövet 1 AB|GBJ Gränna 8:17 AB|GBJ Holding III AB|Limnologen Fastighetsbolag AB|GBJ Jönköping Holding I AB|Sandvikshamn Fastighets AB|Bostadsrättsföreningen Sandvikshamn|Soluppgång i Trånghalla AB|T Bostadsutveckling AB|Bostadsrättsföreningen Arken|Bostadsrättsföreningen Udden i Hovmantorp|Bostadsrättsföreningen Agronomen 1|Bostadsrättsföreningen Agronomen 2|SantHem Fastigheter AB|SantHem Heden AB|GBJ Heden 1 AB|Trummens Holding AB|Thelestads Herrgård II AB|Thelestads Herrgård I AB|GBJ Bostadsutveckling Holding X AB|GBJ Holding IV AB|Agronomen i Växjö 2 AB|GBJ Tengner AB|GBJ Holding V AB|GBJ Holding VI AB|GBJ Fasanen AB|GBJ Udden AB|Bostadsrättsföreningen Snöflingan|GBJ Samhällsfastigheter AB|SantHem Sågcrona 2 AB|GBJ Bostad Guldpärlan 1 AB|Teleborgs ängar AB|GBJ Hammarsby AB|GBJ Bostadsutveckling Holding VII AB|GBJ Bostadsutveckling Holding VI AB|Åhus Bostadsutveckling Holding AB|GBJ Asplövet 1 AB|GBJ Hejans Lycka 1 AB|Bostadsrättsföreningen Heden i Båstad|GBJ Bostad Råstenen 3 AB|Bostadsrättsföreningen Grönskan 2 i Skövde|Bostadsrättsföreningen Ängsklockan|Bostadsrättsföreningen Grönskan 1 i Skövde|Agronomen i Växjö AB|GBJ Bostadsutveckling Holding XI AB|Bostadsrättsföreningen Slätten i Trelleborg|Bostadsrättsföreningen Johnsons Minne|GBJ Bostad Lungörten 1 AB|GBJ Samhällsfastigheter Holding AB|Kronobergs Loftet 4 i Växjö AB|Bostadsrättsföreningen Silverpärlan|GBJ Bostad Guldpärlan 2 AB|Bostadsrättsföreningen Grönskande Längan
Älmby Entreprenad Aktiebolag,5561465336,5,53,Rydetoft; Hans Marcus,4,0,Älmby Entreprenad Aktiebolag|Stenprofil Sverige AB|Fastighetsutveckling i Hässleholm AB|Älmby Utveckling AB
GBJ Bostadsutveckling AB,5569746729,4,55,Strömberg; Carl Fredrik Mattias,43,22,GBJ Bostadsutveckling AB|GBJ Construction AB|GBJ Bostad Väbeln AB|GBJ Lanternan 3 AB|Åhus Stranden 1 AB|Åhus Bostadsutveckling AB|GBJ Östra Färjestaden 2 AB|GBJ Bostadsutveckling Holding III AB|Bostadsrättsföreningen Ängsbrisen|GBJ Bostadsutveckling IIII AB|Bostadsrättsföreningen Norrängen i Lidköping|SantHem Eklövet 1 AB|GBJ Bostadsutveckling Holding VIII AB|SantHem Heden AB|GBJ Bostadsutveckling Holding IX AB|Kuggås strand Mönsterås AB|Bostadsrättsföreningen Slätten i Trelleborg|GBJ Bostadsutveckling Holding X AB|SantHem Sågcrona 2 AB|GBJ Bostad Guldpärlan 1 AB|GBJ Hammarsby AB|GBJ Bostadsutveckling Holding VII AB|Bostadsrättsföreningen Tallslätten i Åhus|GBJ Bostadsutveckling Holding VI AB|Bostadsrättsföreningen Grönskan 2 i Skövde|Åhus Bostadsutveckling Holding AB|GBJ Bostad Råstenen 3 AB|Bostadsrättsföreningen Heden i Båstad|GBJ Asplövet 1 AB|GBJ Hejans Lycka 1 AB|GBJ Heden 1 AB|Bostadsrättsföreningen Guldpärlan|Bostadsrättsföreningen Råstenen Mitt|Bostadsrättsföreningen Ängsklockan|Bostadsrättsföreningen Grönskan 1 i Skövde|GBJ Bostadsutveckling Holding XI AB|Bostadsrättsföreningen Solstrimman|Bostadsrättsföreningen Johnsons Minne|GBJ Bostad Lungörten 1 AB|Bostadsrättsföreningen Silverpärlan|GBJ Bostad Guldpärlan 2 AB|Bostadsrättsföreningen Grönskande Längan|GBJ Bostadsutveckling Holding V AB
GBJ Construction AB,5569387318,4,55,Strömberg; Carl Fredrik Mattias,43,22,GBJ Bostadsutveckling AB|GBJ Construction AB|GBJ Bostad Väbeln AB|GBJ Lanternan 3 AB|Åhus Stranden 1 AB|Åhus Bostadsutveckling AB|GBJ Östra Färjestaden 2 AB|GBJ Bostadsutveckling Holding III AB|Bostadsrättsföreningen Ängsbrisen|GBJ Bostadsutveckling IIII AB|Bostadsrättsföreningen Norrängen i Lidköping|SantHem Eklövet 1 AB|GBJ Bostadsutveckling Holding VIII AB|SantHem Heden AB|GBJ Bostadsutveckling Holding IX AB|Kuggås strand Mönsterås AB|Bostadsrättsföreningen Slätten i Trelleborg|GBJ Bostadsutveckling Holding X AB|SantHem Sågcrona 2 AB|GBJ Bostad Guldpärlan 1 AB|GBJ Hammarsby AB|GBJ Bostadsutveckling Holding VII AB|Bostadsrättsföreningen Tallslätten i Åhus|GBJ Bostadsutveckling Holding VI AB|Bostadsrättsföreningen Grönskan 2 i Skövde|Åhus Bostadsutveckling Holding AB|GBJ Bostad Råstenen 3 AB|Bostadsrättsföreningen Heden i Båstad|GBJ Asplövet 1 AB|GBJ Hejans Lycka 1 AB|GBJ Heden 1 AB|Bostadsrättsföreningen Guldpärlan|Bostadsrättsföreningen Råstenen Mitt|Bostadsrättsföreningen Ängsklockan|Bostadsrättsföreningen Grönskan 1 i Skövde|GBJ Bostadsutveckling Holding XI AB|Bostadsrättsföreningen Solstrimman|Bostadsrättsföreningen Johnsons Minne|GBJ Bostad Lungörten 1 AB|Bostadsrättsföreningen Silverpärlan|GBJ Bostad Guldpärlan 2 AB|Bostadsrättsföreningen Grönskande Längan|GBJ Bostadsutveckling Holding V AB
Prefabsystem Entreprenad Syd AB,5590115746,5,55,Lindfors; Hans Jörgen,3,3,Prefabsystem Entreprenad Syd AB|Wexio Drone AB|Lindfors Konsulting AB
Prefabsystem Entreprenad Syd AB,5590115746,5,55,Abrahamsson; Stefan Hans Jörgen,1,2,Prefabsystem Entreprenad Syd AB
Gustav R. Johansson Aktiebolag,5560630450,8,54,Johansson; Per Göran,5,8,Gustav R. Johansson Aktiebolag|Gustav R. Johansson Entreprenad AB|Veinge Betong Aktiebolag|BOJS i Lidhult AB|Gustav R. Johansson Fastighets AB
Granflo Bygg Aktiebolag,5562703156,3,44,Olsson; Jimmi Robert Alexander,3,1,Bostadsrättsföreningen Sofiastugan|Granflo Bygg Aktiebolag|Mat & Golfspecialisten i Småland AB
Ömangruppen Svenska AB,5564183522,4,58,Arvidsson; Peter Carl Arne,8,32,Ömangruppen Svenska AB|Ömangruppen Projekt AB|Ömangruppen AB|LSMO AB|A Arvidssons AB|Peter Arvidsson Holding AB|Öman Förvaltning AB|Near4You Scandinavia AB
Ömangruppen Svenska AB,5564183522,4,58,Bremer; Nina Margareta,12,16,Ömangruppen Svenska AB|Växjö Lakers Idrott AB|Axcell Fastighetspartner Sydost AB|Ömangruppen Projekt AB|Axcell Fastighetspartner Öst AB|Växjö Lakers Fastighets AB|Ömangruppen AB|Axcell Fastighetspartner AB|PropTech Sweden AB|Style & Beauty i Växjö Aktiebolag|Ömangruppen VS Teknik AB|Öman Förvaltning AB
Wexnet Aktiebolag,5569239444,14,60,Tellgren; Erik Lennart,6,5,Växjö Energi Aktiebolag|Växjö Energi Elnät AB|Wexnet Aktiebolag|Bioenergigruppen i Växjö Aktiebolag|Sankt Sigfrid kommunikation AB|Sydlänk AB
VÄRENDS ENTREPRENAD Aktiebolag,5564490273,4,54,Jakopson; Andreas Karl Erik,4,2,VETA Holding AB|VÄRENDS ENTREPRENAD Aktiebolag|Värends Kontorslokaler AB|Värends Holding AB
Mark och Miljö i Ljungby Aktiebolag,5564650595,2,43,Refond; Benny Henrik Mattias,3,3,Mark och Miljö i Ljungby Aktiebolag|RentCon AB|Mattias Refond Förvaltning AB
Åseda Värme & Sanitet AB,5567362545,4,52,Johansson; Jan Gunnar Magnus,2,6,Fastighetsbolaget Lillfirman AB|Åseda Värme & Sanitet AB
J.K.S Golv i Växjö AB,5565250536,7,51,Erngård; Anna Josefin Kristina,4,2,J.K.S Golv i Växjö AB|AE Konsult i Växjö AB|Dan Erngård Invest AB|Bostadsrättsföreningen Elden Norra 2
Cretec Växjö AB,5590112024,5,46,Arvidsson; Jan Michael,4,2,Cretec AB|Cretec Växjö AB|Cretec Gislaved AB|MDM Växjö AB
VA-Teknik Scandinavia Aktiebolag,5562831973,5,49,Johansson; Rune Våge Robert,7,2,VA-Teknik Scandinavia Holding AB|VA-Teknik Scandinavia Aktiebolag|SVAPIPE AB|VA-Teknik Europe Aktiebolag|Svensk Höjdsäkerhet AB|Familjen Björns AB|VA-Teknik Scandinavia Syd
VA-Teknik Scandinavia Aktiebolag,5562831973,5,49,Adén; Lars Sebastian,1,0,VA-Teknik Scandinavia Aktiebolag
Elinstallationer Ullsand; Bengtsson AB,5566699509,5,47,Ullsand; Erik Stefan,5,4,Elinstallationer Ullsand; Bengtsson AB|Ljungadalsgatan i Växjö AB|Ullsand & Co Aktiebolag|Ullsand nr 1 AB|BESTEM AB
Aktiebolaget Hallabro Elektriska,5560553066,6,60,Elheim Karlsson; Emma Josefin,5,2,Installatörsföretagen Service i Sverige AB|Fastighetsaktiebolaget Hallen|Aktiebolaget Hallabro Elektriska|Apptronic Elteknik AB|Vi Företagare i Tingsryds kommun;                 ekonomisk förening
Consid S5 AB,5566271887,3,49,Lüddeckens; Jens Christian,4,3,Consid S5 AB|Sunnerbogården AB|Christian Lüddeckens AB|Mårtensson Förvaltning i Jönköping AB
Växjö Färg och Måleri AB,5566486709,4,43,Blomqvist; Thomas Andreas,21,5,Blosson Holding AB|Växjö Färg och Måleri AB|Växjö Färg och Tapetaffär AB|BBM Golv & Bad AB|Växjö Färg & Tapet Aktiebolag|GUNNAR 14 Fastighets AB|All Entreprenad Nordic AB|Färg & Tapetcenter i Älmhult AB|Växjö Glas och Fönsterrenovering AB|Alvesta Färg & Måleri AB|GRIP 13-14 Fastighets AB|Fastighets AB Ljungadal 2|BUBBLO FASTIGHETER AB|Möckelsnäs Fastighets Aktiebolag|Help Service & Handel i Älmhult AB|EriMun Fastighets AB|Elme Fastighets AB|KV 14 Fastighets AB|STO 9 Fastighets AB|ERI 5 Fastighets AB|ERI 7 Fastighets AB
MGBYGG i Småland AB,5567517718,3,37,Granflo Granath; Linda Elisabeth,2,2,MGBYGG i Småland AB|MARHULT NETWORK Ekonomisk förening
Sandbäckens Rör i Växjö AB,5565966818,4,56,Liljedahl; Pär Mikael,1,1,Sandbäckens Rör i Växjö AB
JonCon Bygg AB,5566490925,2,56,Ericsson; Per Gunnar Stefan,2,1,JonCon Bygg AB|sericsson Holding AB
Kronobergs Kylteknik Aktiebolag,5562784925,7,48,Eriksson; Karl Göran Mattias,2,1,Kronobergs Kylteknik Aktiebolag|Småland Kylteknik Holding AB
Ljungby Golv Aktiebolag,5563092948,6,51,Andersson; Nils Per Henrik,8,5,Ljungby Golv Aktiebolag|GBR Service Aktiebolag (GBRAB)|Värnamo Golv AB|GBR Förlags Aktiebolag (GFAB)|PERISO Fastighet AB|Ljungby Golvteknik AB|Lars Andersson i Ljungby AB|R S P i Ljungby AB
Liljegrens Entreprenad Aktiebolag,5560492893,3,49,Liljegren Dahlberg; Jim Roberth Arne,2,2,Bostadsrättsföreningen Laxen|Liljegrens Entreprenad Aktiebolag
Ohlssons Rör i Ljungby Aktiebolag,5561270645,4,39,Karlsson; Johan Mix Mikael,3,1,Ohlssons Rör i Ljungby Aktiebolag|Hodu AB|DAJHÖK Förvaltning AB
Korpalycke Bygg Aktiebolag,5563319549,3,51,Ottosson; Karl Gustav Lennart,7,4,Lennart Ottosson Bygg & Fastighets Aktiebolag|Korpalycke Bygg Aktiebolag|Ekeberg Förvaltning AB|CR Ottosson Wasa I AB|CR Ottosson Gnistan 3 AB|KBY BYGG AB|CR Ottosson Holding AB
Växjö Färg & Tapet Aktiebolag,5560986613,4,43,Blomqvist; Thomas Andreas,21,5,Blosson Holding AB|Växjö Färg och Måleri AB|Växjö Färg och Tapetaffär AB|BBM Golv & Bad AB|Växjö Färg & Tapet Aktiebolag|GUNNAR 14 Fastighets AB|All Entreprenad Nordic AB|Färg & Tapetcenter i Älmhult AB|Växjö Glas och Fönsterrenovering AB|Alvesta Färg & Måleri AB|GRIP 13-14 Fastighets AB|Fastighets AB Ljungadal 2|BUBBLO FASTIGHETER AB|Möckelsnäs Fastighets Aktiebolag|Help Service & Handel i Älmhult AB|EriMun Fastighets AB|Elme Fastighets AB|KV 14 Fastighets AB|STO 9 Fastighets AB|ERI 5 Fastighets AB|ERI 7 Fastighets AB
Pool Sweden AB,5569629297,3,53,Laurin; Magnus Curt Ernst Richard,4,2,Pool Sweden AB|Bostadsrättsföreningen Sofieberg 31|SpaCare Sweden AB|Entreprenad Sweden AB
Pool Sweden AB,5569629297,3,53,Hall; Karl Jens Ove,4,9,Pool Sweden AB|Pool Sweden|SpaCare Sweden AB|Entreprenad Sweden AB
J Å Johannessons Bygg Aktiebolag,5563845253,4,55,Johannesson; Jan-Åke Harald,5,14,J Å Johannessons Bygg Aktiebolag|JÅ Johannessons Fastigheter AB|Jani Bygg|Byggprojekt Kronoberg AB|Lindö Invest AB
Service- & Klimatförbättringar                    Christer Sjösten Aktiebolag,5563623791,2,48,Sjösten; Hans Joakim,5,3,Service- & Klimatförbättringar                    Christer Sjösten Aktiebolag|Ventilation - och SkorstensGruppen i Småland AB|Ha Le Förvaltning AB|Ha Le Holding AB|Granflo Klimat AB
L-G C Isolering AB,5563296507,3,53,Carlson; Lars Göran Zerold,14,8,L-G C Isolering i Malmö AB|L-G C Isolering AB|L-G C Isolering i Helsingborg AB|L-G C Isolering i Karlskrona AB|Ugglehult LGJ AB|LGC Östergötland AB|Svenska Isolerfirmornas Service AB|Arnold Mossberg & Co AB|Rekond Fastigheter AB|LGC Entreprenad AB|LGC Holding AB|R Andersson I Tjureda AB|BLG Teknik & Fastighet AB|LGC Väst AB
MMD i Älmhult AB,5567694574,3,42,Svensson; Thomas Dan Morgan,9,17,MMD i Älmhult AB|Smålandsbostäder AB|BVS Borgen AB|Möckeln Byggkonsult Kommanditbolag|BVS Holding i Älmhult AB|Smålandsbostäder Förvaltning AB|MMT Fastigheter AB|Fastighetsbolaget Älmhultskronan AB|Bostadsrättsföreningen Kronan 19
Plåtservice Entreprenad i Växjö AB,5565582003,7,54,Eriksson; Karl Patric Johan,2,3,Plåtservice Entreprenad i Växjö AB|Eriksson & Johansson Holding AB
Peab Asfaltfräsning Aktiebolag,5591964191,3,59,Jakobsson; Hans Håkan,8,16,Swerock Aktiebolag|Peab Asfalt AB|Peab Asfaltfräsning Aktiebolag|Peab Asfalt Väst AB|Berg & Betongtätning i Sverige AB|Peab Industri AB|Bodenhus AB
Triator Brand & Säkerhetsteknik AB,5567779169,4,45,Nilsson; Ola Jan,2,0,F O Teknik AB|Triator Brand & Säkerhetsteknik AB
Växjö Inredningsmiljö Aktiebolag,5564613833,3,59,Herbertsson; Torbjörn Ingvar Leonard,3,2,Växjö Inredningsmiljö Bad & Kök AB|Växjö Inredningsmiljö Aktiebolag|Fastighetsaktiebolaget Gruset 2
Ömangruppen AB,5566196936,4,58,Arvidsson; Peter Carl Arne,8,32,Ömangruppen Svenska AB|Ömangruppen Projekt AB|Ömangruppen AB|LSMO AB|A Arvidssons AB|Peter Arvidsson Holding AB|Öman Förvaltning AB|Near4You Scandinavia AB
Ömangruppen AB,5566196936,4,58,Bremer; Nina Margareta,12,16,Ömangruppen Svenska AB|Växjö Lakers Idrott AB|Axcell Fastighetspartner Sydost AB|Ömangruppen Projekt AB|Axcell Fastighetspartner Öst AB|Växjö Lakers Fastighets AB|Ömangruppen AB|Axcell Fastighetspartner AB|PropTech Sweden AB|Style & Beauty i Växjö Aktiebolag|Ömangruppen VS Teknik AB|Öman Förvaltning AB
KylTech i Växjö AB,5565549143,4,52,Fäldt; Dag Stig Mikael,3,1,Dag Fäldt Holding AB|Rental Chillers I Norden AB|KylTech i Växjö AB
Lindstam.Broman.Elgström.arkitekt AB,5563682565,4,65,Elgström; Mats Ossian Arvid,2,4,Huskompaniet i Växjö AB|Lindstam.Broman.Elgström.arkitekt AB
NALO Ventilation Aktiebolag,5564048972,4,57,Särnholm Petersson; Bengt Roland,7,5,NALO Ventilation Aktiebolag|Neva Fastighets AB|Klimatventilation i Växjö Aktiebolag|N.A.L.O. Ventilation i Ljungby Aktiebolag|NALO Aktiebolag|Nalo Holding AB
PRODECA BYGG & MONTAGE AB,5590482666,2,39,Gonzalez Bustos; Tomas Ariel,1,1,PRODECA BYGG & MONTAGE AB
BTC; Brand Tekniskt Center AB,5565858072,4,54,Lindskog; Rune Pär Daniel,3,5,BTC; Brand Tekniskt Center AB|Funk i Livet AB|BTC Inspection Holding AB
Wexiö Installations Tjänst AB,5567967087,3,49,Qvistgaard; Nils Jimmy,8,6,Köksforum Växjö AB|Aktiebolaget Qvistgaards Snickerier|Wexiö Installations Tjänst AB|Köksforum Helsingborg AB|Köksdesign Karlskrona AB|Qvistgaards Konsult AB|Köksforum Kristianstad AB|Trummenäs Padelcenter AB
Sandbergs Rör i Urshult AB,5566444500,4,53,Carlsson; Karin Magdalena,1,1,Sandbergs Rör i Urshult AB
Inserv AB,5590954581,2,48,Colliander-Nelson; Frank Bobby L,3,0,Ekebo Förvaltning AB|Ekebo holding AB|Inserv AB
Pehrsco Aktiebolag,5565287991,14,52,Ramström; Sven Erik Alf,2,4,Pehrscointressenter AB|Pehrsco Aktiebolag
Takrekond i Småland AB,5565352415,3,51,Jansson; Nils Karl Roland,4,3,Takrekond i Småland AB|Takrekond i Kalmar AB|Rekond Fastigheter AB|Rekond Holding i Småland AB
Takrekond i Småland AB,5565352415,3,51,Ax; Jan Niclas,2,3,Takrekond i Småland AB|Takrekond i Kalmar AB
Arkitektbolaget Kronoberg Aktiebolag,5564543006,4,52,Haraldsson; Eva Signe Maria,2,9,Arkitektbolaget 2017 AB|Arkitektbolaget Kronoberg Aktiebolag
Linccon Construction AB,5591792220,3,45,Eakson; Claes Anders Pierre,5,21,Linccon Group AB|Linccon Rail AB|Linccon Construction AB|Linccon Components AB|ROCKZ Fleetservice AB
Spårmaskiner i Småland AB,5567328629,3,48,Karlsson; Karl Gustav Erik,6,2,Uppvidinge Lastbilcentral Aktiebolag|ÅGL Logistik Ekonomisk förening|Spårmaskiner i Småland AB|Gurras Gräv AB|ÅGL Fastigheter AB|ÅGL Transport AB
Tomas Persson Bygg i Moheda AB,5567948442,2,64,Persson; Sten Patric Thomas,2,0,Tomas Persson Bygg i Moheda AB|T. Persson Byggservice Moheda
SkyMap Innovations AB,5569186025,4,41,Bengtsson; Jon Karl Olof,8,9,Lindås Gräv Aktiebolag|SkyMap Innovations AB|SkyMap Stockholm AB|MoBeNi Fastighet ett AB|SkyMap Väst AB|Lindås Eneryda Holding AB|InoB AB|MoBeNi Fastighets AB
Lars Westling Bygg AB,5567202790,2,51,Westling; Lars-Magnus Lennart,4,2,Lars Westling Bygg AB|AxHa Fastigheter AB|Westlings Bygg|Lars Westling AB
RELAX Ventilerade Badrum Alvesta AB,5568509607,3,60,Ellfors; Inge Harry,2,4,RELAX Ventilerade Badrum Alvesta AB|Scandinavian Bubble Bath AB
PF Borrteknik AB,5569490963,3,52,Poppe; Thomas Fredrik,2,0,Exodurus AB|PF Borrteknik AB
STC Ventilation AB,5568561822,3,45,Sjöstrand; Tim Roger Mikael,1,1,STC Ventilation AB
STC Ventilation AB,5568561822,3,45,Sjöstrand; Carina Ingeborg Ulrika,1,0,STC Ventilation AB
JS Bygg & Anläggning i Växjö AB,5590863964,4,31,Jepson; Jonas Fredrik,2,0,JS Bygg & Anläggning i Växjö AB|Salong Gazellen AB
JS Bygg & Anläggning i Växjö AB,5590863964,4,31,Ohlsson; Simon Hans Erik,1,2,JS Bygg & Anläggning i Växjö AB
Sydsprinkler AB,5565881413,2,65,Glans; Karl Leif Jörgen,2,3,Glans Holding AB|Sydsprinkler AB
Lagan Elteknik AB,5591197610,3,34,Danielsson; Ulf Ernst Tommy,1,0,Lagan Elteknik AB
ST-Vent Aktiebolag,5564896768,3,45,Håkansson; Claes Staffan,2,6,HXT Holding AB|ST-Vent Aktiebolag
Arkadius Vård- och fastighetstjänst Aktiebolag,5567139059,2,64,Karlsson; Arthur Claes Michael,6,5,Arkadius Vård- och fastighetstjänst Aktiebolag|Psykosociala stödtjänster Syd AB|Förstärkta Familjehem Helsingborg AB|Leg Psykolog Michael Karlsson Kommanditbolag|Mötesplats Stationshuset Ekonomisk förening|Sundquist & Clarberg mäkleri och interiör AB
Walfridssons Rör AB,5569959041,2,40,Walfridsson; Simon Olof Jonatan,4,1,Södra Smålands Avfall & Miljö AB|Fastighetsbolaget Kosta Köpmanshus AB|Walfridssons Rör AB|Walfridssons rör
Marhults Bygg Aktiebolag,5564552163,3,43,Österberg; Jacob Mattias,1,0,Marhults Bygg Aktiebolag
Växjö VVS Montage AB,5590093893,2,37,Ård; Jan Bennie Steve,2,0,OFI Holding AB|Växjö VVS Montage AB
TJ Montage AB,5568466451,3,52,Andersson; Carl Tony,2,2,TJ Montage AB|Kronobergs Kran AB
Kånna schakt AB,5590420765,2,36,Källerholm; Carl Richard Mattias,1,1,Kånna schakt AB
NyBe Plåt AB,5590688478,3,45,Svensson; Sven Jesper Joakim,2,0,NyBe Plåt AB|Wenjos Holding AB
Ikonett AB,5591845655,5,46,Dahlin; Per Erik Kristian,1,1,Ikonett AB
Altan dk AB,5591196463,3,58,Knudsen; Casper,1,1,Altan dk AB
SYDISOLERING AB,5567850192,2,49,Dahlberg; Nils Bengt Roger,1,1,SYDISOLERING AB
Erviks Maskin AB,5569427585,3,37,Ervik; Lars Christer,2,1,Erviks Maskin AB|Erviks Entreprenad
Rooths Måleri Aktiebolag,5561763227,2,40,Roth; Tobias Lars Håkan,1,0,Rooths Måleri Aktiebolag
m3D Consulting AB,5591171797,2,31,Lexander; Carl Rickard Hampus,2,2,Bigland AB|m3D Consulting AB
P-A Johanssons Åkeri AB,5568555683,2,50,Johansson; Lars Per-Anders Moje,1,0,P-A Johanssons Åkeri AB
Plym Projekt AB,5590252119,5,42,Eriksson Plym; Louise Sandra V,3,1,Plym Project Holding AB|Plym Event AB|Plym Projekt AB
VVS Experten i Hovmantorp AB,5591100234,2,35,Rudberg; Inge Våge Alexander,1,3,VVS Experten i Hovmantorp AB
Miljöbygg Strömsnäsbruk AB,5567723589,2,64,Svensson; Börje Clas Olof,3,4,Tallen Mellbystrand AB|Miljöbygg Strömsnäsbruk AB|Balans & Resultat Redovisningstjänst              Strömsnäsbruk AB
Byggkompaniet i Växjö AB,5590227384,2,40,Kaczynski; Karol,1,1,Byggkompaniet i Växjö AB
All Entreprenad Nordic AB,5567674089,4,43,Blomqvist; Thomas Andreas,21,5,Blosson Holding AB|Växjö Färg och Måleri AB|Växjö Färg och Tapetaffär AB|BBM Golv & Bad AB|Växjö Färg & Tapet Aktiebolag|GUNNAR 14 Fastighets AB|All Entreprenad Nordic AB|Färg & Tapetcenter i Älmhult AB|Växjö Glas och Fönsterrenovering AB|Alvesta Färg & Måleri AB|GRIP 13-14 Fastighets AB|Fastighets AB Ljungadal 2|BUBBLO FASTIGHETER AB|Möckelsnäs Fastighets Aktiebolag|Help Service & Handel i Älmhult AB|EriMun Fastighets AB|Elme Fastighets AB|KV 14 Fastighets AB|STO 9 Fastighets AB|ERI 5 Fastighets AB|ERI 7 Fastighets AB
DF-Montage AB,5568279144,2,41,Fager; Claes Daniel Vittorio,2,1,Fastighetsbolaget Östbo 2 AB|DF-Montage AB
Allt i Riv Småland AB,5569719478,2,35,Zepcan; Denis,2,0,Allt i Riv Småland AB|Allt i Riv Småland
Sajt Arkitektstudio AB,5568469208,2,38,Sandahl; Nina Mikaela,2,2,Växjö Hydroprint AB|Sajt Arkitektstudio AB
Färg & Tapetcenter i Älmhult AB,5591108203,4,43,Blomqvist; Thomas Andreas,21,5,Blosson Holding AB|Växjö Färg och Måleri AB|Växjö Färg och Tapetaffär AB|BBM Golv & Bad AB|Växjö Färg & Tapet Aktiebolag|GUNNAR 14 Fastighets AB|All Entreprenad Nordic AB|Färg & Tapetcenter i Älmhult AB|Växjö Glas och Fönsterrenovering AB|Alvesta Färg & Måleri AB|GRIP 13-14 Fastighets AB|Fastighets AB Ljungadal 2|BUBBLO FASTIGHETER AB|Möckelsnäs Fastighets Aktiebolag|Help Service & Handel i Älmhult AB|EriMun Fastighets AB|Elme Fastighets AB|KV 14 Fastighets AB|STO 9 Fastighets AB|ERI 5 Fastighets AB|ERI 7 Fastighets AB
Pallenkvist Allservice AB,5569411613,3,55,Sandberg; Eric Inge,6,18,Pallenkvist Allservice AB|Arbrå-Stugan AB|Camare Aktiebolag|Sandberg Administration AB|Torpa Wexiö Design AB|Sandberg Förvaltning AB
Projectma AB,5568854789,3,49,Eriksson; Johan Fredrik,6,5,Projectma AB|Toftablick AB|Bygg OM Project Management i Linköping AB|Limark AB|SKEDMARK AB|Tornmark AB
L.Å. Svanbergs Gräv Aktiebolag,5562885524,4,72,Svanberg; Lars-Åke,3,2,Stensbergs Bergtäkt AB|L.Å. Svanbergs Gräv Aktiebolag|Svanbergs Holding Aktiebolag
Hovshaga Bygg AB,5566978044,2,54,Turesson; Åke Olof Jörgen,1,1,Hovshaga Bygg AB
