company_no,company_name
5568310402,Roséns Mätservice AB
5567140255,M D Ventilation AB
5591412209,Niroc Solutions AB
5562276401,Sidensjö Elektriska Aktiebolag
5569391757,H Nilsson Grundentreprenad i Härnösand AB
5569279606,Desint AB
5563018240,Fagerdals Maskinentreprenad Aktiebolag
5564265154,Betonghåltagningar Nordborr AB
5566770615,Freemountain Alvik AB
5569417958,Svelanders Entreprenad AB
5569981425,Stay Cool i Älandsbro AB
5590435045,SVELANDERS VVS AB
5561510875,Aktiebolaget Bröderna Thorins Grävmaskiner
5569678138,consize AB
5590919634,Fiberteam Skandinavien AB
5560902735,Bergs Golv i Långsele Aktiebolag
5561784199,Hans och Sture Nilssons Byggnads Aktiebolag
5590829288,STC GRÄV OCH GRUND I SVERIGE AB
5567051304,A. N Mättjänster AB
5562502038,Rinab Automation; Reglerinstrumentering Norr AB
5568724560,DAMAB AB
5566636634,J. Sjölunds Värme & Sanitet AB
5561310763,Ålunds Måleri & Entreprenad AB
5567859045,Norbergs åkeri och entreprenad AB
5561162818,Hellstrands Golv Aktiebolag
5563459204,Höga Kusten Plåtslageri i Härnösand AB
5567530372,Norrflärke Allservice AB
5565240024,Midälva Plåtslageri AB
5590442017,Ö-viks El o VVS AB
5590688460,Flodin Kör Allt AB
5590081872,LBM Rör & Värmeteknik AB
5568814270,Larssons Brunnsborrning Eftr. AB
5561262352,Gisslins Måleri Aktiebolag
5591272629,Härnösands Plåtslageri AB
5566742697,Henrik Widells Golv i Härnösand AB
5567970016,EL i Sundsvall CÅM AB
5568039019,Glaskompaniet i Sundsvall AB
5566262589,Botnia Ställning Aktiebolag
5566572854,RTM Helgum AB
5567746812,Ventilation och Isoleringsteknik Västby AB
5568635808,Hansson Schakt & Entreprenad AB
5561181982,Aktiebolaget Sundåsens Rör
5569345027,Anton Edholm AB
5564662012,Elektrotjänst i Ånge Aktiebolag
5563505204,Sollefteå Glasmästeri Aktiebolag
5562962588,P L Plåt Aktiebolag
5566806633,Själevads El AB
5568485212,Sjöströms Maskinhållning i Ljustorp AB
5590066733,PermoLuft AB
5567049431,GlasPartner Nordic AB
5569965642,Jannes Entreprenad Örnsköldsvik AB
5564665999,Plåtteamet i Örnsköldsvik AB
5567255160,Boström & Persson Bygg AB
5569547101,Botnia Maskinproffs AB
5561967224,Bydalens Golv Aktiebolag
5567361430,GB Trading Aktiebolag
5568354913,Tomas Rönnqvist Plåt AB
5569834723,TMM AB
5569169021,Ac Acrylicon Fogfriagolv AB
5591431571,Gadast Bygg AB
5568489461,Per Holgersson Maskinhållning AB
5566573076,GE:s Grund & Schakt Aktiebolag
5566492368,Timrå Måleri AB
5568519382,Ramviks Entreprenad AB
5568765654,Strategigruppen Mitt AB
5567899181,Byggkraft i Sollefteå AB
5568519028,Norrlandskustens Rörtjänst AB
5569023335,Åkes Entreprenad AB
5564046539,Nordingrå Bygg Aktiebolag
5566607924,Ravesta Portservice AB
5568670250,Mikael Dahllund Bygg i Höga Kusten AB
5568581689,Nordic Road Marking AB
771030XXXX,Hamrin; Daniel
670212XXXX,Hallin; Thomas
781203XXXX,Nordéns Bygg
5591819619,Nobicore Plåt AB
550218XXXX,Byggnadsfirman Erland Lundkvist
5591787311,Boda Mark & Entreprenad AB
5590530290,Thomas Ahlms Bygg & Kakel AB
5566324801,Lindfors Glas & Metall AB
5591598494,SAP Energy AB
5567711287,TPN Totalprojekt Norr AB
5563615003,Melin & Mårtén Byggnads Aktiebolag
5562164888,Malmbergs Glas Aktiebolag
5563156032,Energi & Bygg i Ådalen AB
5569480600,Nybacka Bygg NBM AB
5567755714,Njurunda Måleri AB
5568442445,LM Edenströms Maskin AB
5568141203,EB:s Fasad & Bygg AB
5568791866,Lindströms Bergsprängning AB
5568536709,Robert S Entreprenad AB
5591767008,PL Bygg & Entreprenad Sundsvall AB
5567569164,Jan G Entreprenad AB
5569406365,MADE Construction i Sundsvall AB
5568592298,TMS Maskinhållning AB
5564036985,Elmontage Kent Sjöblom Aktiebolag
5569081341,Malms Rör i Sundsvall AB
5562257559,Nordlings El o Larm AB
5565327664,Ahla-Vent i Norrland AB
5562060078,Gra-Be Miljö Aktiebolag
5564161882,RT Anderssons Måleri Aktiebolag
5591683643,JD Automation AB
5569643330,NILAB Bygg & Montage AB
5566926365,JSI Rör i Sundsvall AB
5562667591,Backlunds Värme & Sanitet Aktiebolag
5563982932,Nordins Elektriska i Härnösand Aktiebolag
5591902506,G2 i Skandinavien AB
5569081986,Victorious Group AB
5562119098,Södermalms Olje & Värme Aktiebolag
5590863972,Byggare Byström AB
5563146926,Lindbloms Kranlyft Aktiebolag
5566848072,Ulf Nylén Bygg Aktiebolag
5569268864,AB Willer Styrborr
5565109419,Sjöfast AB
5568002645,CCG Construction Concrete Group AB
5568334238,Express Rör i Sundsvall AB
5568055262,Fanqvist Plåtslageri AB
5591923148,BJ Brandteknik AB
5569256737,Aronsson & Jonsson Marktjänst AB
5564864352,Betena Borr Aktiebolag
5569453615,Stenstaden Mark och Entreprenad AB
5591774475,Daniel Feldts Entreprenad AB
5563010973,Björklund & Wedin Måleri Aktiebolag
5569129868,Östmans Mark och Trädgård i Sund AB
5590257852,Nordic Rent and Event AB
5565021358,VUAB Vägundersökningar Aktiebolag
5569981532,Hemsäkerhet i Västernorrland AB
5567506562,MittTeknik Sverige AB
5563669125,S-O Bergman Entreprenad Aktiebolag
5567784268,Timrå Telecom AB
5590049986,PowerUp Highcoast Electrics AB
5590113097,Tenglunds Trafik och Maskin AB
5591886840,AntonAlbertbygg AB
5565705141,Hamre Gräv AB
5567217467,Bygg- & anläggsteknik i Ö-vik AB
5568071111,X shapers i Sollefteå AB
5562761881,ÅS Plåtslageri AB
5569415655,J Lindhs Industri och Montage AB
5568586951,El-Fix Inge Sandström AB
5567215255,Hans Andersson Schakt AB
5563295137,PN Bygg i Ånge AB
5564468410,APPEARIT AB
5567627269,Mittech Swe AB
5590674148,Falks Entreprenad i Sollefteå AB
5590743075,Hanson Bygg i Örnsköldsvik AB
5564979697,E.K. Vent & Miljö Aktiebolag
5591750046,Mellansvenska Fogfria Golv AB
5569395766,Långsele el och järnvägsteknik AB
5590166202,Dynabygg AB
5565797494,Eurokakel Entreprenad AB
5564240132,Invent Ulf Karlsson AB
5591006803,Bröderna Edefalls Entreprenad AB
5567813398,Graninge Entreprenad AB
5567278253,Aho Kakeldesign AB
5590106935,M.Grönlund Golv o Montage AB
5564000510,ML Huskonsult Aktiebolag
5568294895,Jakobssons Tak och Fastigheter AB
5562987049,CS Teknik Örnsköldsvik AB
5567465561,Docksta Maskin AB
5568665706,D Gunnarsson Fönster & Bygg AB
5569874547,Ulwes bygg AB
5569200297,David Nordin Bygg AB
