company_no,company_name
5565769899,Mecon Bygg AB
5566198015,Callenberg Technology AB
5563476398,Tegelstaden Bygg Aktiebolag
5560113465,F.O. Peterson & Söner Byggnadsaktiebolag
5561892711,Byggnads Aktiebolaget L E Lundberg
5562634880,Johansson Grus & Mark Entr. Aktiebolag
5565188769,Sumitomo SHI FW Energi Aktiebolag
5561868760,Habitek Byggentreprenad AB
5565245981,Aarsleff Ground Engineering AB
5565435293,Lambertsson Kran Aktiebolag
5568669666,Magnolia Produktion AB
5566298450,Constrera AB
5567418743,Swedish Hospital Partners AB
5568025760,Swedish Hospital Partners Holding AB
5564717584,Marcon-gruppen i Sverige AB
5565455382,Bergman & Höök Byggnads AB
5591864771,Sub connected AB
5562851120,Andersson Company Byggnads AB
5561756197,NIRAS Sweden AB
5567771901,Erlandsson Bygg i Dalarna AB
5563786093,"KEWAB, Kenneth Wahlström Aktiebolag"
5561789313,AF Bygg Syd AB
5564842382,Skandinaviska GlasSystem Aktiebolag
5567937627,Prevator AB
5564216181,Sandahls Grus & Asfalt Aktiebolag
5567666481,Prefabsystem Entreprenad Svenska AB
5564740164,Österling Bygg Aktiebolag
5564595261,REOMTI Bygg AB
5565139408,Veidekke Industri AB
5569746729,GBJ Bostadsutveckling AB
5565184925,LPE Sverige AB
5566854245,Fasadrenoveringar Roland Karlsson I Mälardalen AB
5566813209,RSQ Invest AB
5569387318,GBJ Construction AB
5568526080,Interoc Akustik AB
5565690988,KeyPlants AB
5566757000,Teknikbyggarna i Linköping AB
5563755940,Contractor Bygg i Sundsvall AB
5567599443,Libergs Sweden AB
5567658033,OPP Förvaltnings AB
5563563880,Drillcon Aktiebolag
5567082903,KvalitetsBygg R AB
5568933914,Löfqvist & Andersson Holding AB
5561582536,Tage & Söner i Varberg AB
5590908686,Infrakraft Sverige AB
5561438143,Snells Entreprenad Aktiebolag
5561302331,WINGE Byggnadsaktiebolag
5563117588,GK Rör AB
5568630593,Bursells Entreprenad i Borgholm AB
5561984898,Per Jacobsson Byggnads Aktiebolag
5567270839,Omvägen Holding AB
5590284310,Energiservice Skellefteå Aktiebolag
5564880630,SEHED Tresson AB
5567307813,Railcare Group AB
5565546487,Peab Bostadsproduktion AB
5591115117,Kanonaden Entreprenad Mälardalen AB
5564409414,Tumba Byggtjänst AB
5565157012,ABEKA El & Kraftanläggningar Aktiebolag
5565387700,Forsen Aktiebolag
5567325088,GH Olofsson Bygg & Entreprenad AB
5590833678,PA Construction AB
5563259547,Fasadglas Bäcklin Aktiebolag
5562365568,Byggnadsingenjör Nils Skoglund Aktiebolag
5561932905,Byggnadsfirman Viktor Hanson AB
5563755767,Primula Byggnads Aktiebolag
5561977926,Styrud Ingenjörsfirma Aktiebolag
5561816298,P N Gruppen AB
5566798038,Prenova Bygg och Projektutveckling AB
5563439156,AB Fristad Bygg
5563941987,Hifab Group AB
5567652929,Byggfokus Väst Entreprenad AB
5564610961,Protective System Svenska Productions             Aktiebolag
5565415097,LP Byggentreprenad AB
5590474408,"Baraa Reda Consulting Services, Sweden AB"
5566986146,SEHED Bygg Hälsingland AB
5561184440,Tage & Söner Byggnads AB
5564497419,Lyftkranar i Skogås Aktiebolag
5566165253,BYGG R1 AB
5568712284,Interoc AB
5563410421,ELU Konsult Aktiebolag
5564582111,OP2 Byggnads AB
5563785525,Sandahls Entreprenad AB
5562535863,Byggnadsfirman Otto Magnusson Service AB
5563915395,Reinertsen Sverige AB
5590592266,Karlastaden Utveckling AB
5567801187,Miljöbyggarna Entreprenad Holding i Linköping AB
5566821970,Blue Wall Construction AB
5565354726,Great Security Sverige AB
5591161061,Collen Aktiebolag
