company,id,year,net_sales,other_sales,op_profit_ebit,prof_after_net_fin_items,results,sub_unpaid_cap,fixed_assets,current_assets,assets,equity,untaxed_reserves,provisions,lt_liabilities,curr_liabilities,lia_and_equity,salar_board_ceo,royalties_board_ceo,sal_other_empl,perf_other_empl,social_exp,dividends,revenue,num_employes,net_sales_empl,pers_cost_empl,op_prof_ebitda,net_change,du_pont_model,prof_margin,gross_prof,working_cap,solidity,quick_ratio
Bo Almqvist i Stallarholmen Aktiebolag,5563658433,2015,41612,-,497,1414,1563,0,1122,5239,6361,2578,801,0,0,2982,6361,-,-,4175,-,1432,1000,41612,12,3468,478,767,-1.08%,25.69%,3.93%,25.39%,5.42%,50.35%,122.64%
Bo Almqvist i Stallarholmen Aktiebolag,5563658433,2014,42068,-,859,1029,808,0,1378,4675,6053,1515,1115,0,0,3423,6053,-,-,4113,-,1333,500,42068,12,3506,464,1324,2.21%,20.49%,2.95%,25.61%,2.98%,39.40%,89.72%
Bo Almqvist i Stallarholmen Aktiebolag,5563658433,2013,41157,-,322,435,521,0,915,5013,5928,1208,1048,0,0,3673,5928,-,-,4076,0,1296,500,41157,12,3430,448,789,4.63%,10.71%,1.54%,15.68%,3.26%,34.17%,92.98%
Bo Almqvist i Stallarholmen Aktiebolag,5563658433,2012,39335,-,665,1189,961,0,1660,3613,5273,1337,1291,0,0,2645,5273,547,-,3122,-,1232,650,39335,12,3278,408,1073,2.16%,25.13%,3.37%,15.86%,2.46%,43.40%,77.47%
Bo Almqvist i Stallarholmen Aktiebolag,5563658433,2011,38503,-,128,38,64,0,1250,3340,4589,975,1198,0,0,2416,4589,640,0,2874,-,1137,600,38503,10,3850,465,557,2.79%,4.34%,0.52%,14.98%,2.40%,40.49%,73.18%
Bo Almqvist i Stallarholmen Aktiebolag,5563658433,2010,37457,-,491,619,416,0,1508,3555,-,1662,1258,0,0,2053,-,470,-,2752,-,994,750,37457,10,3746,422,920,-,-,1.99%,15.60%,4.01%,-,102.09%
Emil & Kalle bygg AB,5591200141,2019,7296,13,507,622,371,0,1110,1898,3008,1103,476,0,0,1429,3008,-,-,-,-,-,0,7309,4,1824,591,509,33.58%,20.84%,8.59%,50.71%,6.43%,49.01%,132.82%
Emil & Kalle bygg AB,5591200141,2018,5462,31,1254,1249,682,0,211,1515,1725,732,340,70,0,584,1725,-,-,-,-,-,0,5493,4,1366,419,1254,-,72.70%,22.96%,70.87%,17.05%,57.81%,259.42%
3SM CONSULTING AB,5591854988,2019,1382,-,733,733,428,0,0,901,901,478,183,0,0,239,901,-,-,-,-,-,0,1382,1,1382,614,733,-,81.35%,53.04%,100.00%,47.90%,68.89%,376.99%
Pavlo Vård AB,5591183966,2019,1836,-,781,781,550,0,50,1342,1392,848,28,0,0,516,1392,-,-,-,-,-,770,1836,2,918,465,781,-23.98%,56.11%,42.54%,100.00%,44.99%,62.49%,260.08%
Pavlo Vård AB,5591183966,2018,2415,-,713,713,417,0,0,1016,1016,467,178,0,0,371,1016,-,-,-,-,-,169,2415,2,1208,746,713,-,70.18%,29.52%,100.00%,26.71%,59.63%,273.85%
RPP Dyk AB,5569697278,2019,17874,-,2822,2752,1593,0,3948,4838,8786,2388,2098,0,1362,2938,8786,-,-,-,-,-,1100,17874,12,1490,570,4255,-0.75%,32.13%,15.79%,90.32%,10.63%,45.81%,164.67%
RPP Dyk AB,5569697278,2018,18009,-,2346,2301,1200,0,3315,3707,7022,1795,1397,0,881,2950,7022,0,0,0,0,0,1000,18009,13,1385,618,3366,79.78%,33.42%,13.03%,93.63%,4.20%,41.08%,125.66%
RPP Dyk AB,5569697278,2017,10017,-,1338,1308,656,0,2105,2458,4562,894,678,0,1136,1854,4562,-,-,-,-,-,300,10017,5,2003,787,1912,393.93%,29.33%,13.36%,90.78%,6.03%,31.19%,132.58%
RPP Dyk AB,5569697278,2016,2028,-,533,514,261,0,766,462,1228,239,200,0,344,445,1228,-,-,84,-,50,0,2028,1,2028,111,724,695.29%,43.40%,26.28%,69.08%,0.84%,32.17%,103.82%
RPP Dyk AB,5569697278,2015,255,-,-72,-72,-72,0,0,72,72,57,0,0,0,16,72,0,-,141,-,44,0,255,1,255,240,-72,-,-100.00%,-28.24%,100.00%,21.96%,79.17%,137.50%
KA Jonssons Belysningsverkstad AB,5590569694,2020,1657,-,-97,-123,-123,0,0,182,182,38,0,0,0,144,182,0,0,0,0,0,0,1657,2,829,447,-97,47.03%,-53.30%,-5.85%,69.46%,2.29%,20.88%,126.39%
KA Jonssons Belysningsverkstad AB,5590569694,2019,1127,-,-109,-110,-51,0,0,260,260,161,0,0,0,99,260,-,-,-,-,-,0,1127,-,-,-,-109,-36.83%,-41.92%,-9.67%,91.04%,14.29%,61.92%,262.63%
KA Jonssons Belysningsverkstad AB,5590569694,2018,1784,-,236,236,138,0,0,376,376,212,59,0,0,105,376,-,-,-,-,-,0,1784,2,892,422,236,109.88%,62.77%,13.23%,69.67%,15.19%,68.62%,358.10%
KA Jonssons Belysningsverkstad AB,5590569694,2017,850,-,32,31,25,0,0,135,135,75,0,0,0,60,135,-,-,-,-,-,0,850,2,425,274,32,-,23.70%,3.76%,87.65%,8.82%,55.56%,225.00%
KHINJUSTERING AB,5591935837,2019,567,-,158,158,96,0,0,231,231,146,35,0,0,50,231,0,0,0,0,0,40,567,1,567,271,158,-,68.40%,27.87%,100.00%,31.92%,75.02%,462.00%
R.E. Jansson Konsult AB,5564581238,2019,895,-,311,318,184,0,28,592,620,345,80,0,0,195,620,-,-,-,-,-,200,895,1,895,412,311,-11.12%,51.45%,35.64%,100.00%,44.36%,65.71%,303.59%
R.E. Jansson Konsult AB,5564581238,2018,1007,-,238,237,239,0,78,493,571,362,0,0,0,210,571,-,-,-,-,-,200,1007,1,1007,586,238,-16.71%,41.68%,23.63%,100.00%,28.10%,63.40%,234.76%
R.E. Jansson Konsult AB,5564581238,2017,1209,-,436,362,194,0,28,491,519,323,80,0,0,116,519,-,-,-,-,-,200,1209,1,1209,611,436,20.78%,83.82%,35.98%,100.00%,31.02%,74.26%,423.28%
R.E. Jansson Konsult AB,5564581238,2016,1001,-,69,54,30,0,113,232,345,159,0,0,0,186,345,-,-,-,-,-,30,1001,1,1001,680,69,-3.38%,20.00%,6.89%,100.00%,4.60%,46.09%,124.73%
R.E. Jansson Konsult AB,5564581238,2015,1036,-,63,-81,2,0,128,291,419,130,0,0,0,290,419,-,-,546,-,234,0,1036,2,518,413,63,-14.87%,15.04%,6.08%,100.00%,0.10%,31.03%,100.34%
R.E. Jansson Konsult AB,5564581238,2014,1217,-,106,99,106,0,256,271,526,278,128,0,0,121,526,-,-,641,-,261,150,1217,2,609,470,106,-6.02%,22.81%,9.86%,100.00%,12.33%,71.83%,223.97%
R.E. Jansson Konsult AB,5564581238,2013,1295,-,172,172,132,0,276,305,580,272,174,0,0,134,580,-,-,696,-,243,100,1295,2,648,503,172,37.77%,29.66%,13.28%,100.00%,13.20%,70.30%,227.61%
R.E. Jansson Konsult AB,5564581238,2012,940,14,155,152,122,0,276,315,591,290,174,0,0,127,591,0,-,371,-,196,150,954,1,940,601,173,6.46%,26.90%,16.91%,100.00%,20.00%,70.77%,248.03%
R.E. Jansson Konsult AB,5564581238,2011,883,-,63,-903,-892,0,313,358,671,168,190,0,0,313,671,0,-,424,38,213,0,883,1,883,662,88,-2.32%,-9.69%,-7.36%,100.00%,5.10%,45.91%,114.38%
R.E. Jansson Konsult AB,5564581238,2010,904,-,184,180,121,0,1302,334,1636,1160,230,0,0,247,1636,0,-,336,-,178,100,904,1,904,531,209,-,11.25%,20.35%,100.00%,9.62%,81.27%,135.22%
per-olof smedberg aktiebolag,5568422322,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
per-olof smedberg aktiebolag,5568422322,2018,111,4,-97,-97,-97,0,0,134,134,123,0,0,0,11,134,0,0,0,0,0,0,115,-,-,-,-97,-45.59%,-72.39%,-87.39%,71.17%,110.81%,91.79%,1218.18%
per-olof smedberg aktiebolag,5568422322,2017,204,75,-24,-24,-24,0,0,220,220,220,0,0,0,0,220,0,0,0,0,0,0,279,-,-,-,-24,-36.25%,-10.91%,-11.76%,70.10%,107.84%,100.00%,-
per-olof smedberg aktiebolag,5568422322,2016,320,-,57,57,52,0,0,286,286,244,0,0,0,42,286,0,0,0,0,0,0,320,0,-,-,57,23.08%,19.93%,17.81%,74.38%,76.25%,85.31%,680.95%
per-olof smedberg aktiebolag,5568422322,2015,260,-,-35,-35,-35,0,0,205,205,192,0,0,0,13,205,-,-,-,-,-,0,260,-,-,-,-35,-16.40%,-17.07%,-13.46%,56.92%,73.85%,93.66%,1576.92%
per-olof smedberg aktiebolag,5568422322,2014,311,-,74,74,58,0,0,270,270,227,0,0,0,43,270,-,-,-,-,-,0,311,1,311,17,74,111.56%,27.41%,23.79%,53.38%,72.99%,84.07%,627.91%
per-olof smedberg aktiebolag,5568422322,2013,147,-,80,80,62,0,0,223,223,169,0,0,0,54,223,-,-,-,-,-,0,147,-,-,-,80,241.86%,35.87%,54.42%,81.63%,114.97%,75.78%,412.96%
per-olof smedberg aktiebolag,5568422322,2012,43,-,22,22,16,0,0,149,149,106,0,0,0,42,149,0,-,0,-,0,0,43,0,-,-,22,-28.33%,14.77%,51.16%,79.07%,248.84%,71.14%,354.76%
per-olof smedberg aktiebolag,5568422322,2011,60,-,55,55,40,0,0,122,122,90,0,0,0,32,122,0,-,0,-,0,0,60,0,-,-,55,-,45.08%,91.67%,98.33%,150.00%,73.77%,381.25%
