company,id,year,net_sales,other_sales,op_profit_ebit,prof_after_net_fin_items,results,sub_unpaid_cap,fixed_assets,current_assets,assets,equity,untaxed_reserves,provisions,lt_liabilities,curr_liabilities,lia_and_equity,salar_board_ceo,royalties_board_ceo,sal_other_empl,perf_other_empl,social_exp,dividends,revenue,num_employes,net_sales_empl,pers_cost_empl,op_prof_ebitda,net_change,du_pont_model,prof_margin,gross_prof,working_cap,solidity,quick_ratio
Scienta Omicron AB,5562259704,2012,58114,1609,-2474,-2773,-2212,0,2062,47529,49591,14554,0,99,9727,25211,49591,1088,-,13817,-,7194,0,59723,27,2152,833,-2140,-31.72%,-4.96%,-4.24%,61.11%,38.40%,29.35%,128.92%
Scienta Omicron AB,5562259704,2011,85114,832,15814,15456,12983,0,1681,51014,52695,16766,0,99,0,35829,52695,1271,-,12694,-,7203,0,85946,26,3274,804,16236,16.25%,30.03%,18.59%,63.28%,17.84%,31.82%,96.26%
Scienta Omicron AB,5562259704,2010,73215,884,17376,17050,11195,0,877,48410,49288,15944,2223,99,0,31022,49288,1386,-,10746,-,6009,0,74099,23,3183,767,17696,-,35.25%,23.73%,66.28%,23.75%,35.67%,111.69%
Nygårds Traktortjänst Magnus Nilsson AB,5566873344,2019,11871,162,844,592,242,0,10654,3016,13671,1619,3473,0,5556,3023,13671,-,-,-,-,-,0,12033,5,2374,557,2179,-1.95%,6.17%,7.11%,48.87%,-0.06%,31.66%,98.25%
Nygårds Traktortjänst Magnus Nilsson AB,5566873344,2018,12107,389,1061,870,2,0,9174,3458,12632,1376,3192,0,4929,3135,12632,-,-,-,-,-,0,12496,5,2421,536,2319,34.75%,8.40%,8.76%,46.58%,2.67%,30.60%,110.14%
Nygårds Traktortjänst Magnus Nilsson AB,5566873344,2017,8985,255,857,747,1,0,9379,2489,11869,1374,2327,0,5338,2830,11869,-,-,-,-,-,0,9240,4,2246,544,1678,24.41%,7.22%,9.54%,48.71%,-3.80%,26.87%,86.89%
Nygårds Traktortjänst Magnus Nilsson AB,5566873344,2016,7222,507,760,698,0,0,5560,2079,7638,1623,1582,0,2512,1921,7638,-,-,-,-,0,250,7729,4,1806,427,1408,21.36%,9.95%,10.52%,45.56%,2.19%,37.40%,107.60%
Nygårds Traktortjänst Magnus Nilsson AB,5566873344,2015,5951,98,-31,-91,-26,0,4535,1690,6225,1623,885,0,2006,1712,6225,-,-,904,-,389,0,6049,3,1984,435,542,5.22%,-0.50%,-0.52%,43.40%,-0.37%,37.16%,97.20%
Nygårds Traktortjänst Magnus Nilsson AB,5566873344,2014,5656,71,-115,-184,4,0,4752,1387,6139,1649,950,0,2071,1469,6139,-,-,936,-,378,0,5727,3,1885,440,542,7.88%,-1.66%,-1.80%,43.64%,-1.45%,38.93%,89.93%
Nygårds Traktortjänst Magnus Nilsson AB,5566873344,2013,5243,8,-114,-219,-37,0,4762,1860,6622,1645,1145,0,2522,1311,6622,0,-,952,-,438,0,5251,4,1311,336,552,-32.29%,-1.63%,-2.06%,47.70%,10.47%,38.33%,139.13%
Nygårds Traktortjänst Magnus Nilsson AB,5566873344,2012,7743,65,-36,-120,105,0,6834,2135,8970,1882,1327,0,3499,2262,8970,299,-,1227,-,716,200,7808,5,1549,414,1207,-21.53%,0.68%,0.79%,51.41%,-1.64%,31.88%,92.22%
Nygårds Traktortjänst Magnus Nilsson AB,5566873344,2011,9867,63,-475,-653,17,0,6483,2588,9071,1778,1551,0,4392,1350,9071,230,-,1969,-,775,0,9930,-,-,-,206,-28.12%,-4.99%,-4.59%,61.49%,12.55%,32.20%,168.15%
Nygårds Traktortjänst Magnus Nilsson AB,5566873344,2010,13727,-,696,524,592,0,7505,1590,9095,1761,2221,0,4702,411,9095,184,-,3386,-,1327,0,13727,13,1056,380,1493,-,7.69%,5.09%,92.50%,8.59%,37.36%,88.08%
Håkan Granlund Consulting AB,5566882790,2019,2313,-,1302,1302,910,0,1490,3776,5267,4053,828,0,0,386,5267,-,-,-,-,-,242,2313,1,2313,810,1302,9.05%,24.72%,56.29%,100.00%,146.56%,89.21%,978.24%
Håkan Granlund Consulting AB,5566882790,2018,2121,-,1130,1130,794,0,1347,3137,4484,3394,695,0,0,395,4484,-,-,-,-,-,251,2121,1,2121,806,1130,4.43%,25.20%,53.28%,100.00%,129.28%,87.78%,794.18%
Håkan Granlund Consulting AB,5566882790,2017,2031,-,1097,1099,852,0,1165,2623,3789,2838,593,0,0,358,3789,-,-,-,-,-,238,2031,1,2031,724,1097,21.84%,29.01%,54.11%,100.00%,111.52%,87.11%,732.68%
Håkan Granlund Consulting AB,5566882790,2016,1667,-,758,759,588,0,535,2563,3098,2223,593,0,0,282,3098,-,-,-,-,-,237,1667,1,1667,722,758,-1.30%,24.50%,45.53%,100.00%,136.83%,86.69%,908.87%
Håkan Granlund Consulting AB,5566882790,2015,1689,71,856,857,743,0,406,2329,2736,1864,593,0,0,278,2736,-,-,448,-,254,229,1760,1,1689,702,856,-1.80%,31.29%,50.68%,100.00%,121.43%,85.03%,837.77%
Håkan Granlund Consulting AB,5566882790,2014,1720,-,832,836,582,0,279,2044,2323,1371,693,0,0,259,2323,-,-,445,-,253,250,1720,1,1720,698,832,6.24%,35.99%,48.60%,100.00%,103.78%,82.29%,789.19%
Håkan Granlund Consulting AB,5566882790,2013,1619,-,724,752,623,0,176,2729,2905,1989,608,0,0,307,2905,-,-,469,-,261,200,1619,1,1619,730,724,11.73%,25.85%,46.39%,100.00%,149.60%,84.79%,888.93%
Håkan Granlund Consulting AB,5566882790,2012,1449,-,483,538,348,0,0,2435,2435,1516,658,0,0,261,2435,0,-,424,-,345,150,1449,1,1449,769,483,5.84%,22.09%,37.13%,100.00%,150.03%,82.17%,932.95%
Håkan Granlund Consulting AB,5566882790,2011,1369,-,500,493,352,0,0,2153,2153,1318,586,0,0,249,2153,-,-,448,-,242,150,1369,1,1369,690,501,5.31%,24.38%,38.35%,100.00%,139.08%,81.28%,864.66%
Håkan Granlund Consulting AB,5566882790,2010,1300,-,467,480,350,0,1,1918,1919,1085,586,0,0,248,1919,434,0,0,0,235,120,1300,1,1300,669,472,-,25.01%,36.92%,100.00%,128.46%,79.05%,773.39%
Wiklunds Kakelugnsmakeri AB,5567592554,2019,499,-,102,101,79,0,57,3011,3067,527,100,0,430,2009,3067,-,-,-,-,-,0,499,-,-,-,139,5.50%,3.33%,20.44%,94.59%,200.80%,19.73%,120.06%
Wiklunds Kakelugnsmakeri AB,5567592554,2018,473,-,124,124,96,0,94,1111,1205,448,100,0,0,657,1205,-,-,-,-,-,0,473,0,-,-,161,-9.56%,10.29%,26.22%,91.75%,95.98%,43.65%,79.45%
Wiklunds Kakelugnsmakeri AB,5567592554,2017,523,-,102,102,80,0,131,1072,1203,352,100,0,690,61,1203,0,0,0,0,0,0,523,0,-,-,152,43.29%,8.48%,19.50%,68.64%,193.31%,35.74%,718.03%
Wiklunds Kakelugnsmakeri AB,5567592554,2016,365,-,2,1,1,0,181,960,1141,272,100,0,740,29,1141,-,-,-,-,-,0,365,1,365,5,52,-4.20%,0.18%,0.55%,85.21%,255.07%,30.67%,1148.28%
Wiklunds Kakelugnsmakeri AB,5567592554,2015,381,-,-16,-19,38,0,232,1219,1451,271,100,0,994,85,1451,-,-,80,-,25,0,381,-,-,-,37,-62.65%,-1.10%,-4.20%,100.00%,297.64%,24.05%,797.65%
Wiklunds Kakelugnsmakeri AB,5567592554,2014,1020,-,192,184,92,0,245,1285,1530,233,169,0,773,354,1530,-,-,430,-,135,0,1020,0,-,-,236,121.26%,12.55%,18.82%,79.12%,91.27%,23.84%,220.34%
Wiklunds Kakelugnsmakeri AB,5567592554,2013,461,-,119,100,6,0,289,889,1178,140,104,0,806,128,1178,-,-,72,-,23,0,461,1,461,101,170,-48.09%,10.10%,25.81%,89.37%,165.08%,18.77%,444.53%
Wiklunds Kakelugnsmakeri AB,5567592554,2012,888,-,63,36,26,0,339,1027,1366,134,14,0,1086,132,1366,0,-,336,-,106,0,888,1,888,446,115,22.65%,4.61%,7.09%,96.40%,100.79%,10.57%,535.61%
Wiklunds Kakelugnsmakeri AB,5567592554,2011,724,-,-59,-69,0,0,391,697,1088,108,14,0,728,238,1088,0,-,400,-,127,0,724,1,724,539,-27,5.39%,-5.42%,-8.15%,95.58%,63.40%,10.87%,165.13%
Wiklunds Kakelugnsmakeri AB,5567592554,2010,687,-,308,307,171,0,52,537,590,318,84,0,32,156,590,110,-,0,-,35,0,687,1,687,160,320,-,52.20%,44.83%,90.39%,55.46%,64.39%,291.67%
Arc & Forte AB,5590241567,2019,1149,-,158,159,118,0,0,1356,1356,1037,25,0,0,295,1356,-,-,-,-,-,250,1149,1,1149,333,158,50.39%,11.65%,13.75%,57.53%,92.34%,77.91%,459.66%
Arc & Forte AB,5590241567,2018,764,-,-74,-77,-77,0,0,1309,1309,1091,0,0,0,219,1309,-,-,-,-,-,0,764,1,764,350,-74,-31.48%,-5.65%,-9.69%,61.65%,142.67%,83.35%,597.72%
Arc & Forte AB,5590241567,2017,1115,-,450,449,349,0,0,1479,1479,1167,0,0,0,311,1479,-,-,-,-,-,0,1115,1,1115,247,450,-25.57%,30.43%,40.36%,81.79%,104.75%,78.90%,475.56%
Arc & Forte AB,5590241567,2016,1498,-,307,309,241,0,0,1153,1153,818,0,0,0,335,1153,-,-,-,-,0,0,1498,1,1498,250,307,27.06%,26.80%,20.63%,47.06%,54.61%,70.95%,344.18%
Arc & Forte AB,5590241567,2015,1179,-,676,676,527,0,0,977,977,577,0,0,0,400,977,-,-,79,-,20,0,1179,1,1179,99,676,-,69.19%,57.34%,72.52%,48.94%,59.06%,244.25%
R.H.K Entreprenad AB,5591216550,2019,1016,-,130,130,101,0,132,234,366,214,0,0,0,152,366,-,-,-,-,-,0,1016,1,1016,407,151,45.77%,35.52%,12.80%,85.83%,8.07%,58.47%,153.95%
R.H.K Entreprenad AB,5591216550,2018,697,-,81,81,63,0,31,123,155,113,0,0,0,42,155,-,-,-,-,-,0,697,1,697,230,82,-,52.26%,11.62%,94.40%,11.62%,72.90%,292.86%
Robert Sandell Arkitektkontor Aktiebolag,5569798548,2019,1251,-,494,494,293,0,201,1027,1228,619,535,0,0,74,1228,0,0,0,0,0,200,1251,1,1251,556,494,-5.37%,40.23%,39.49%,96.40%,76.18%,84.39%,1387.84%
Robert Sandell Arkitektkontor Aktiebolag,5569798548,2018,1322,-,510,510,299,0,201,1188,1389,551,415,0,0,422,1389,0,0,0,0,0,225,1322,1,1322,638,510,-13.99%,36.72%,38.58%,99.02%,57.94%,62.97%,281.52%
Robert Sandell Arkitektkontor Aktiebolag,5569798548,2017,1537,-,213,212,248,0,201,881,1082,562,290,0,0,230,1082,-,-,-,-,-,310,1537,1,1537,832,213,-21.82%,19.69%,13.86%,82.69%,42.36%,72.85%,383.04%
Robert Sandell Arkitektkontor Aktiebolag,5569798548,2016,1966,-,431,431,251,0,500,1234,1734,668,398,0,0,668,1734,-,-,-,-,-,354,1966,2,983,525,431,17.65%,24.86%,21.92%,85.76%,28.79%,56.43%,184.73%
Robert Sandell Arkitektkontor Aktiebolag,5569798548,2015,1671,-,1171,1171,687,0,0,1482,1482,737,290,0,0,455,1482,-,-,217,-,71,320,1671,2,836,176,1171,-,79.01%,70.08%,99.64%,61.46%,64.99%,325.71%
Fastighets AB Lennart Larsson & Co,5563734622,2019,26365,-,108,-200,-1325,0,551,36927,37478,815,0,0,0,36662,37478,-,-,-,-,-,0,26365,15,1758,773,346,31.58%,0.30%,0.42%,99.71%,1.01%,2.17%,87.13%
Fastighets AB Lennart Larsson & Co,5563734622,2018,20037,-,-400,-404,2,0,495,16024,16519,140,0,0,0,16379,16519,-,-,-,-,-,0,20037,15,1336,752,-180,63.81%,-2.42%,-2.00%,99.66%,-1.77%,0.85%,88.89%
Fastighets AB Lennart Larsson & Co,5563734622,2017,12232,-,-3832,-3836,2,0,508,15024,15532,137,0,0,0,15394,15532,-,-,-,-,0,0,12232,15,815,710,-3642,24.35%,-24.67%,-31.33%,98.93%,-3.02%,0.88%,94.23%
Fastighets AB Lennart Larsson & Co,5563734622,2016,9837,-,-5511,-5557,14,0,429,13459,13888,135,0,0,0,13753,13888,-,-,5650,-,3444,0,9837,14,703,678,-5326,34.11%,-39.68%,-56.02%,98.13%,-2.99%,0.97%,96.20%
Fastighets AB Lennart Larsson & Co,5563734622,2015,7335,-,-7326,-7327,5,0,614,12906,13520,121,0,0,0,13399,13520,-,-,5904,-,2732,0,7335,13,564,679,-7092,-12.45%,-54.18%,-99.86%,97.59%,-6.72%,0.89%,92.41%
Fastighets AB Lennart Larsson & Co,5563734622,2014,8378,-,-4323,-4330,20,0,232,7059,7291,117,0,0,0,7175,7291,0,-,5331,-,2192,0,8378,13,644,640,-4212,-6.45%,-59.29%,-51.60%,91.16%,-1.38%,1.60%,98.38%
Fastighets AB Lennart Larsson & Co,5563734622,2013,8956,-,-2405,-2405,-35,0,225,4581,4806,97,0,0,0,4709,4806,577,-,4659,-,2073,0,8956,13,689,562,-2316,-8.45%,-50.02%,-26.84%,-26.85%,-1.43%,2.02%,97.28%
Fastighets AB Lennart Larsson & Co,5563734622,2012,9783,-,-3414,-3489,-2,0,314,5477,5791,132,0,0,0,5659,5791,0,-,6224,-,2525,0,9783,14,699,-,-3414,4.83%,-58.94%,-34.89%,100.00%,-1.86%,2.28%,96.78%
Fastighets AB Lennart Larsson & Co,5563734622,2011,9332,3,-3254,-3252,16,0,655,2162,2817,134,0,0,0,2683,2817,535,-,5206,-,2709,0,9335,15,622,563,-3126,11.87%,-115.41%,-34.84%,-34.88%,-5.58%,4.76%,80.58%
Fastighets AB Lennart Larsson & Co,5563734622,2010,8342,-,-2586,-2587,55,0,538,4408,4946,132,0,0,0,4814,4946,4998,-,0,-,2213,0,8342,13,642,555,-2533,-,-52.28%,-31.00%,63.89%,-4.87%,2.67%,91.57%
Robert Wester AB,5569848731,2020,1307,-,324,324,190,0,580,656,1236,362,600,0,182,92,1236,-,-,-,-,-,240,1307,1,1307,734,324,6.87%,26.21%,24.79%,100.00%,43.15%,67.15%,713.04%
Robert Wester AB,5569848731,2019,1223,-,223,222,133,0,470,748,1218,422,520,0,182,94,1218,-,-,-,-,-,250,1223,1,1223,739,223,-9.61%,18.31%,18.23%,100.00%,53.48%,67.95%,795.74%
Robert Wester AB,5569848731,2018,1353,-,335,334,198,0,350,972,1322,589,470,0,179,84,1322,-,-,-,-,-,300,1353,1,1353,727,335,-14.80%,25.34%,24.76%,100.00%,65.63%,72.28%,1157.14%
Robert Wester AB,5569848731,2017,1588,-,648,648,380,0,0,1413,1413,661,390,0,119,243,1413,-,-,-,-,-,270,1588,1,1588,660,648,5.10%,45.86%,40.81%,100.00%,73.68%,68.31%,581.48%
Robert Wester AB,5569848731,2016,1511,-,644,644,377,0,0,1009,1009,441,230,0,119,219,1009,-,-,466,-,216,160,1511,1,1511,645,644,90.30%,63.83%,42.62%,100.00%,52.28%,61.49%,460.73%
Robert Wester AB,5569848731,2015,794,-,281,281,164,0,0,461,461,214,70,0,56,121,461,-,-,261,-,127,150,794,1,794,376,281,-,60.95%,35.39%,100.00%,42.82%,58.26%,380.99%
"Arne, Lennart & Inger Andersson Invest AB",5566875794,2019,370774,1899,29600,29554,23052,0,34373,46191,80563,32320,0,425,0,47818,80563,2088,-,32730,-,12958,0,372673,91,4074,525,30912,3.53%,37.53%,8.15%,19.89%,-0.44%,40.12%,76.11%
"Arne, Lennart & Inger Andersson Invest AB",5566875794,2018,358120,93,29555,25066,18653,0,26188,42996,69184,24087,181,0,0,44916,69184,1200,-,32773,-,12151,0,358213,90,3979,512,31016,2.29%,42.72%,8.25%,20.50%,-0.54%,34.82%,72.50%
"Arne, Lennart & Inger Andersson Invest AB",5566875794,2017,350089,69,27734,27764,21750,0,24024,41625,65649,21938,177,0,0,43534,65649,1322,-,32173,-,11868,0,350158,91,3847,498,29414,3.38%,43.45%,8.15%,20.04%,-0.55%,33.42%,71.00%
"Arne, Lennart & Inger Andersson Invest AB",5566875794,2016,338638,75,25569,25070,19544,0,25151,36909,62060,19905,0,0,0,42155,62060,1494,-,31283,-,11743,0,338713,88,3848,506,27115,4.08%,41.65%,7.63%,19.57%,-1.55%,32.07%,62.20%
"Arne, Lennart & Inger Andersson Invest AB",5566875794,2015,325353,82,23425,21262,16034,0,21413,42977,64391,16361,0,0,0,48030,64391,2177,-,29058,-,9978,0,325435,87,3740,474,25159,6.63%,36.41%,7.21%,19.31%,-1.55%,25.41%,67.82%
"Arne, Lennart & Inger Andersson Invest AB",5566875794,2014,305130,-,22009,18963,14177,0,24209,34174,58383,12979,118,0,0,45286,58383,2263,-,27360,-,7679,0,305130,75,4068,497,23645,3.29%,37.90%,7.25%,19.38%,-3.64%,22.23%,53.24%
