company,id,status,actual_status,remark,default_date
Kommanditbolaget Reftele Elservice,9697055821,aktivt,aktivt,,
Handelsbolaget Rättaregården,9164153224,aktivt,aktivt,,
P.Stamborgs AB,5592225741,aktivt,aktivt,,
NyBe Måleri Aktiebolag,5566263538,aktivt,aktivt,,
Finnvedens Måleri Kommanditbolag,9167040964,aktivt,aktivt,,
Handelsbolaget Lindqvist Consulting,9697694223,aktivt,aktivt,,
PROFIAB Handelsbolag,9697282326,aktivt,aktivt,,
Allan Sandstedt & Son Handelsbolag,9164529084,aktivt,aktivt,,
Djurstedts EL & VVS AB,5590917349,inaktivt,Registrerad,Konkurs inledd,2020-03-31
Sågby Entreprenad AB,5567301295,aktivt,aktivt,,
Plex Handelsbolag,9165236424,aktivt,aktivt,,
Takproffsen i södra Sverige AB,5592175219,aktivt,aktivt,,
Contruster Engineering AB,5592115579,aktivt,aktivt,,
Fastighets AB Ekgrundet,5568980006,aktivt,aktivt,,
SpreeTrade Aktiebolag,5566317789,aktivt,aktivt,,
Hagalunds Form AB,5569442873,aktivt,aktivt,,
Byggnadsfirma Leif Ljungkvist AB,5590493226,aktivt,aktivt,,
Fager i Tranås AB,5568210131,aktivt,aktivt,,
Tenbäckens Bygg och Betong AB,5590120571,aktivt,aktivt,,
PK Transport AB,5569571556,aktivt,aktivt,,
Stefan W Lindh Byggkonsult i Tranås AB,5590852454,aktivt,aktivt,,
Inge Lundborg Bärgning och Kranlyft i Eksjö       Aktiebolag,5562692730,aktivt,aktivt,,
Verkstan i Eksjö AB,5569759490,aktivt,aktivt,,
Peter Wallbergs Bygg AB,5568255391,aktivt,aktivt,,
Holmbergs Glas i Huskvarna AB,5568105448,aktivt,aktivt,,
Mickes Bygg i Skärstad AB,5590520929,inaktivt,Registrerad,Konkurs inledd,2020-10-06
Videntes ledning och kommunikation AB,5569212375,aktivt,aktivt,,
Golvservice Nöjd AB,5562419068,aktivt,aktivt,,
Eksjö Byggprojektering Aktiebolag,5564332566,aktivt,aktivt,,
Urkraft Sverige AB,5591484612,aktivt,aktivt,,
Eddes Golv i Mullsjö AB,5591114136,aktivt,aktivt,,
JJW Konsult AB,5591477202,aktivt,aktivt,,
Grenevik & Gustafsson Bygg i Habo Aktiebolag,5565056578,aktivt,aktivt,,
Petter Ingenjörsbyrå AB,5591268577,aktivt,aktivt,,
Sivison AB,5568946676,aktivt,aktivt,,
Grävteknik i Jönköping Aktiebolag,5567806210,aktivt,aktivt,,
Henrikssons byggmåleri AB,5590576269,aktivt,aktivt,,
Hj Montage & Byggservice AB,5569917304,aktivt,aktivt,,
Bygg- & Fastighetskonsult Leif Wettegård AB,5568056377,aktivt,aktivt,,
