company,id,company_form,county,industry,operation,registered_date
SH.EL.SA BYGG AB,5590846506,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggnadssnickeriarbeten,2016-11-10
Glasberga Fastighetsaktiebolag,5563610707,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,1989-05-25
Tre Liljor Detaljist Aktiebolag,5564037520,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Måleriarbeten,1990-08-09
Compact Solutions AB,5569248171,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Arkitektverksamhet,2013-03-05
Northscan AB,5592225360,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2019-10-15
SLJ Inredningskonsult AB,5565228383,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Industri- & Produktdesignverksamhet,1995-07-24
Vious AB,5590965843,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2017-01-10
Melval AB,5565050969,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,1995-01-24
Mazebar & Kök AB,5590002068,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2015-01-13
Wama Entreprenad AB,5590970439,Aktiebolag,Kronobergs län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2017-01-12
Dyviksnäs Gård AB,5591871909,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggnadssnickeriarbeten,2018-12-19
ByggSima AB,5591519797,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggnadssnickeriarbeten,2018-03-12
Willington 2 Aktiebolag,5591448054,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2018-01-11
Ergo3 Bygg AB,5569664351,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2014-03-26
SLH Aktiv Företagstjänst AB,5563546406,Aktiebolag,Norrbottens län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,1989-04-06
Antikträdet AB,5591564777,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2018-04-20
KR VENT AB,5591797765,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2018-11-13
Evolution Sales Management Sweden AB,5569773897,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggnadssnickeriarbeten,2014-07-11
Wermdö Eketrä Byggnads AB,5590103049,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2015-04-13
DESSONA Consulting AB,5591969000,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2019-03-01
Motala Badhusen Varamon AB,5591022859,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Utformning av Byggprojekt,2017-02-27
GELEX AB,5590313234,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2015-10-20
Massivverk AB,5591364434,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2017-11-30
HLG projekt AB,5591610604,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2018-06-01
Isidor Invest Aktiebolag,5563318301,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,1988-09-01
Jerker Larsson AB,5565137659,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Arkitektverksamhet,1995-06-07
Optimea El AB,5591643241,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,El-VVS & Bygginstallationer,2018-07-02
Henke & Sungans Vulk och Motell AB,5590473004,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2016-01-15
AllSverigeRocks AB,5591974471,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Anläggningsarbeten,2019-03-05
Golden House bygg och städ AB,5591445647,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2018-01-10
